method,nodes,mean,std,ci_low,ci_high,yerr
DynaCol/DCBO,100,1213.33,0.0,1213.33,1213.33,0.0
DynaCol/DCBO,300,1027.68,7.31,1022.45,1032.91,5.23
DynaCol/DCBO,500,1413.14,4.26,1410.09,1416.18,3.05
DynaCol/DCBO,1000,1418.44,3.75,1415.75,1421.12,2.68
FogPlan-MinCost,100,253.33,0.0,253.33,253.33,0.0
FogPlan-MinCost,300,255.13,0.0,255.13,255.13,0.0
FogPlan-MinCost,500,255.48,0.0,255.48,255.48,0.0
FogPlan-MinCost,1000,255.74,0.0,255.74,255.74,0.0
Static-DCBO,100,253.33,0.0,253.33,253.33,0.0
Static-DCBO,300,255.13,0.0,255.13,255.13,0.0
Static-DCBO,500,357.68,0.0,357.68,357.68,0.0
Static-DCBO,1000,358.04,0.0,358.04,358.04,0.0
