method,nodes,trial,overhead_norm
DynaCol/DCBO,100,1,1213.33
DynaCol/DCBO,100,2,1213.33
DynaCol/DCBO,100,3,1213.33
DynaCol/DCBO,100,4,1213.33
DynaCol/DCBO,100,5,1213.33
DynaCol/DCBO,100,6,1213.33
DynaCol/DCBO,100,7,1213.33
DynaCol/DCBO,100,8,1213.33
DynaCol/DCBO,100,9,1213.33
DynaCol/DCBO,100,10,1213.33
DynaCol/DCBO,300,1,1023.13
DynaCol/DCBO,300,2,1038.27
DynaCol/DCBO,300,3,1023.13
DynaCol/DCBO,300,4,1023.13
DynaCol/DCBO,300,5,1038.27
DynaCol/DCBO,300,6,1023.13
DynaCol/DCBO,300,7,1023.13
DynaCol/DCBO,300,8,1038.27
DynaCol/DCBO,300,9,1023.13
DynaCol/DCBO,300,10,1023.13
DynaCol/DCBO,500,1,1416.0
DynaCol/DCBO,500,2,1406.97
DynaCol/DCBO,500,3,1415.48
DynaCol/DCBO,500,4,1416.0
DynaCol/DCBO,500,5,1406.97
DynaCol/DCBO,500,6,1415.48
DynaCol/DCBO,500,7,1416.0
DynaCol/DCBO,500,8,1406.97
DynaCol/DCBO,500,9,1415.48
DynaCol/DCBO,500,10,1416.0
DynaCol/DCBO,1000,1,1414.43
DynaCol/DCBO,1000,2,1422.91
DynaCol/DCBO,1000,3,1419.31
DynaCol/DCBO,1000,4,1414.43
DynaCol/DCBO,1000,5,1422.91
DynaCol/DCBO,1000,6,1419.31
DynaCol/DCBO,1000,7,1414.43
DynaCol/DCBO,1000,8,1422.91
DynaCol/DCBO,1000,9,1419.31
DynaCol/DCBO,1000,10,1414.43
FogPlan-MinCost,100,1,253.33
FogPlan-MinCost,100,2,253.33
FogPlan-MinCost,100,3,253.33
FogPlan-MinCost,100,4,253.33
FogPlan-MinCost,100,5,253.33
FogPlan-MinCost,100,6,253.33
FogPlan-MinCost,100,7,253.33
FogPlan-MinCost,100,8,253.33
FogPlan-MinCost,100,9,253.33
FogPlan-MinCost,100,10,253.33
FogPlan-MinCost,300,1,255.13
FogPlan-MinCost,300,2,255.13
FogPlan-MinCost,300,3,255.13
FogPlan-MinCost,300,4,255.13
FogPlan-MinCost,300,5,255.13
FogPlan-MinCost,300,6,255.13
FogPlan-MinCost,300,7,255.13
FogPlan-MinCost,300,8,255.13
FogPlan-MinCost,300,9,255.13
FogPlan-MinCost,300,10,255.13
FogPlan-MinCost,500,1,255.48
FogPlan-MinCost,500,2,255.48
FogPlan-MinCost,500,3,255.48
FogPlan-MinCost,500,4,255.48
FogPlan-MinCost,500,5,255.48
FogPlan-MinCost,500,6,255.48
FogPlan-MinCost,500,7,255.48
FogPlan-MinCost,500,8,255.48
FogPlan-MinCost,500,9,255.48
FogPlan-MinCost,500,10,255.48
FogPlan-MinCost,1000,1,255.74
FogPlan-MinCost,1000,2,255.74
FogPlan-MinCost,1000,3,255.74
FogPlan-MinCost,1000,4,255.74
FogPlan-MinCost,1000,5,255.74
FogPlan-MinCost,1000,6,255.74
FogPlan-MinCost,1000,7,255.74
FogPlan-MinCost,1000,8,255.74
FogPlan-MinCost,1000,9,255.74
FogPlan-MinCost,1000,10,255.74
Static-DCBO,100,1,253.33
Static-DCBO,100,2,253.33
Static-DCBO,100,3,253.33
Static-DCBO,100,4,253.33
Static-DCBO,100,5,253.33
Static-DCBO,100,6,253.33
Static-DCBO,100,7,253.33
Static-DCBO,100,8,253.33
Static-DCBO,100,9,253.33
Static-DCBO,100,10,253.33
Static-DCBO,300,1,255.13
Static-DCBO,300,2,255.13
Static-DCBO,300,3,255.13
Static-DCBO,300,4,255.13
Static-DCBO,300,5,255.13
Static-DCBO,300,6,255.13
Static-DCBO,300,7,255.13
Static-DCBO,300,8,255.13
Static-DCBO,300,9,255.13
Static-DCBO,300,10,255.13
Static-DCBO,500,1,357.68
Static-DCBO,500,2,357.68
Static-DCBO,500,3,357.68
Static-DCBO,500,4,357.68
Static-DCBO,500,5,357.68
Static-DCBO,500,6,357.68
Static-DCBO,500,7,357.68
Static-DCBO,500,8,357.68
Static-DCBO,500,9,357.68
Static-DCBO,500,10,357.68
Static-DCBO,1000,1,358.04
Static-DCBO,1000,2,358.04
Static-DCBO,1000,3,358.04
Static-DCBO,1000,4,358.04
Static-DCBO,1000,5,358.04
Static-DCBO,1000,6,358.04
Static-DCBO,1000,7,358.04
Static-DCBO,1000,8,358.04
Static-DCBO,1000,9,358.04
Static-DCBO,1000,10,358.04
