method,nodes,mean,std,ci_low,ci_high,yplus,yminus
DynaCol/DCBO,100,268.52,34.2963,243.9876,293.0524,24.5324,24.5324
DynaCol/DCBO,300,7.22,0.0,7.22,7.22,0.0,0.0
DynaCol/DCBO,500,7.22,0.0,7.22,7.22,0.0,0.0
DynaCol/DCBO,1000,7.22,0.0,7.22,7.22,0.0,0.0
FogPlan-MinCost,100,266.3255,1.4692,265.2746,267.3764,1.0509,1.0509
FogPlan-MinCost,300,612.567,7.5623,607.1576,617.9764,5.4094,5.4094
FogPlan-MinCost,500,574.33,2.0795,572.8425,575.8175,1.4875,1.4875
FogPlan-MinCost,1000,677.32,0.3162,677.0938,677.5462,0.2262,0.2262
Static-DCBO,100,330.22,10.328,322.8323,337.6077,7.3877,7.3877
Static-DCBO,300,390.72,2.4152,388.9924,392.4476,1.7276,1.7276
Static-DCBO,500,457.22,0.0,457.22,457.22,0.0,0.0
Static-DCBO,1000,603.52,0.483,603.1745,603.8655,0.3455,0.3455
Greedy-Nearest,100,330.22,10.328,322.8323,337.6077,7.3877,7.3877
Greedy-Nearest,300,390.72,2.4152,388.9924,392.4476,1.7276,1.7276
Greedy-Nearest,500,457.22,0.0,457.22,457.22,0.0,0.0
Greedy-Nearest,1000,603.52,0.483,603.1745,603.8655,0.3455,0.3455
Tavousi-Fuzzy,100,330.22,10.328,322.8323,337.6077,7.3877,7.3877
Tavousi-Fuzzy,300,390.72,2.4152,388.9924,392.4476,1.7276,1.7276
Tavousi-Fuzzy,500,457.22,0.0,457.22,457.22,0.0,0.0
Tavousi-Fuzzy,1000,603.52,0.483,603.1745,603.8655,0.3455,0.3455
Dogani-TwoTier,100,330.22,10.328,322.8323,337.6077,7.3877,7.3877
Dogani-TwoTier,300,390.72,2.4152,388.9924,392.4476,1.7276,1.7276
Dogani-TwoTier,500,457.22,0.0,457.22,457.22,0.0,0.0
Dogani-TwoTier,1000,603.52,0.483,603.1745,603.8655,0.3455,0.3455
Edgeward,100,1355.9365,40.3295,1327.0885,1384.7845,28.848,28.848
Edgeward,300,8.22,0.0,8.22,8.22,0.0,0.0
Edgeward,500,8.22,0.0,8.22,8.22,0.0,0.0
Edgeward,1000,8.22,0.0,8.22,8.22,0.0,0.0
