method,nodes,trial,p95_ms
DynaCol/DCBO,100,1,247.22
DynaCol/DCBO,100,2,247.22
DynaCol/DCBO,100,3,318.22
DynaCol/DCBO,100,4,247.22
DynaCol/DCBO,100,5,247.22
DynaCol/DCBO,100,6,318.22
DynaCol/DCBO,100,7,247.22
DynaCol/DCBO,100,8,247.22
DynaCol/DCBO,100,9,318.22
DynaCol/DCBO,100,10,247.22
DynaCol/DCBO,300,1,7.22
DynaCol/DCBO,300,2,7.22
DynaCol/DCBO,300,3,7.22
DynaCol/DCBO,300,4,7.22
DynaCol/DCBO,300,5,7.22
DynaCol/DCBO,300,6,7.22
DynaCol/DCBO,300,7,7.22
DynaCol/DCBO,300,8,7.22
DynaCol/DCBO,300,9,7.22
DynaCol/DCBO,300,10,7.22
DynaCol/DCBO,500,1,7.22
DynaCol/DCBO,500,2,7.22
DynaCol/DCBO,500,3,7.22
DynaCol/DCBO,500,4,7.22
DynaCol/DCBO,500,5,7.22
DynaCol/DCBO,500,6,7.22
DynaCol/DCBO,500,7,7.22
DynaCol/DCBO,500,8,7.22
DynaCol/DCBO,500,9,7.22
DynaCol/DCBO,500,10,7.22
DynaCol/DCBO,1000,1,7.22
DynaCol/DCBO,1000,2,7.22
DynaCol/DCBO,1000,3,7.22
DynaCol/DCBO,1000,4,7.22
DynaCol/DCBO,1000,5,7.22
DynaCol/DCBO,1000,6,7.22
DynaCol/DCBO,1000,7,7.22
DynaCol/DCBO,1000,8,7.22
DynaCol/DCBO,1000,9,7.22
DynaCol/DCBO,1000,10,7.22
FogPlan-MinCost,100,1,268.22
FogPlan-MinCost,100,2,267.065
FogPlan-MinCost,100,3,265.765
FogPlan-MinCost,100,4,263.665
FogPlan-MinCost,100,5,265.665
FogPlan-MinCost,100,6,267.865
FogPlan-MinCost,100,7,264.985
FogPlan-MinCost,100,8,266.675
FogPlan-MinCost,100,9,265.465
FogPlan-MinCost,100,10,267.885
FogPlan-MinCost,300,1,606.645
FogPlan-MinCost,300,2,622.035
FogPlan-MinCost,300,3,610.595
FogPlan-MinCost,300,4,603.665
FogPlan-MinCost,300,5,621.675
FogPlan-MinCost,300,6,609.985
FogPlan-MinCost,300,7,612.465
FogPlan-MinCost,300,8,624.275
FogPlan-MinCost,300,9,603.865
FogPlan-MinCost,300,10,610.465
FogPlan-MinCost,500,1,572.22
FogPlan-MinCost,500,2,577.22
FogPlan-MinCost,500,3,575.435
FogPlan-MinCost,500,4,572.22
FogPlan-MinCost,500,5,576.145
FogPlan-MinCost,500,6,573.22
FogPlan-MinCost,500,7,572.22
FogPlan-MinCost,500,8,576.105
FogPlan-MinCost,500,9,576.295
FogPlan-MinCost,500,10,572.22
FogPlan-MinCost,1000,1,677.22
FogPlan-MinCost,1000,2,677.22
FogPlan-MinCost,1000,3,678.22
FogPlan-MinCost,1000,4,677.22
FogPlan-MinCost,1000,5,677.22
FogPlan-MinCost,1000,6,677.22
