method,policy,nodes,scenario,trial,seed,p95_ms,mean_loop_ms,sla_pct,overhead_norm,control_messages,colonies,variant,mean_energy_per_req,total_cost
Full DCBO,DYNACOL_DCBO_FULL,500,Normal Load,3,20279699,7.220,4.468,0.000,1415.484,1842,34,full,1683.649854,1004091.920000
Full DCBO,DYNACOL_DCBO_FULL,500,Normal Load,4,20279700,7.220,9.518,1.426,1416.000,1843,34,full,1607.577891,972338.320000
Full DCBO,DYNACOL_DCBO_FULL,500,Normal Load,1,20279697,7.220,9.518,1.426,1416.000,1843,34,full,1607.577891,981771.840000
Full DCBO,DYNACOL_DCBO_FULL,500,Normal Load,2,20279698,7.220,5.223,0.000,1341.161,1778,34,full,869.739548,1317818.160000
Full DCBO,DYNACOL_DCBO_FULL,500,Normal Load,6,20279702,7.220,4.468,0.000,1415.484,1842,34,full,1683.649854,1012181.840000
Full DCBO,DYNACOL_DCBO_FULL,500,Normal Load,7,20279703,7.220,9.518,1.426,1416.000,1843,34,full,1607.577891,970865.640000
Full DCBO,DYNACOL_DCBO_FULL,500,Normal Load,5,20279701,7.220,5.223,0.000,1341.161,1778,34,full,869.739548,1321986.880000
Full DCBO,DYNACOL_DCBO_FULL,500,Normal Load,8,20279704,7.220,5.223,0.000,1341.161,1778,34,full,869.739548,1313484.000000
Full DCBO,DYNACOL_DCBO_FULL,500,Normal Load,9,20279705,7.220,4.468,0.000,1415.484,1842,34,full,1683.649854,996333.040000
Full DCBO,DYNACOL_DCBO_FULL,500,Normal Load,10,20279706,7.220,9.518,1.426,1416.000,1843,34,full,1607.577891,983040.320000
Full DCBO,DYNACOL_DCBO_FULL,500,Burst Load,3,20338799,7.220,4.450,0.000,1415.484,1842,34,full,1697.905330,1663685.040000
Full DCBO,DYNACOL_DCBO_FULL,500,Burst Load,1,20338797,7.220,9.626,1.414,1416.000,1843,34,full,1622.486393,1655494.920000
Full DCBO,DYNACOL_DCBO_FULL,500,Burst Load,4,20338800,7.220,9.626,1.414,1416.000,1843,34,full,1622.486393,1669553.720000
Full DCBO,DYNACOL_DCBO_FULL,500,Burst Load,2,20338798,8.220,5.910,0.000,1341.161,1778,34,full,877.845809,1992630.280000
Full DCBO,DYNACOL_DCBO_FULL,500,Burst Load,6,20338802,7.220,4.450,0.000,1415.484,1842,34,full,1697.905330,1667437.720000
Full DCBO,DYNACOL_DCBO_FULL,500,Burst Load,5,20338801,8.220,5.910,0.000,1341.161,1778,34,full,877.845809,1992168.480000
Full DCBO,DYNACOL_DCBO_FULL,500,Burst Load,7,20338803,7.220,9.626,1.414,1416.000,1843,34,full,1622.486393,1699294.720000
Full DCBO,DYNACOL_DCBO_FULL,500,Burst Load,8,20338804,8.220,5.910,0.000,1341.161,1778,34,full,877.845809,1991684.160000
No-Handover,DYNACOL_DCBO_NO-HANDOVER,500,Normal Load,2,20260762,7.220,5.223,0.000,1341.161,1778,34,no-handover,869.739548,1315420.680000
No-Handover,DYNACOL_DCBO_NO-HANDOVER,500,Normal Load,1,20260761,503.220,111.624,30.263,1414.710,1842,34,no-handover,1052.558130,1238634.640000
No-Handover,DYNACOL_DCBO_NO-HANDOVER,500,Normal Load,3,20260763,7.220,4.468,0.000,1415.484,1842,34,no-handover,1683.649854,995565.720000
No-Handover,DYNACOL_DCBO_NO-HANDOVER,500,Normal Load,5,20260765,7.220,5.223,0.000,1341.161,1778,34,no-handover,869.739548,1313150.280000
No-Handover,DYNACOL_DCBO_NO-HANDOVER,500,Normal Load,4,20260764,503.220,111.624,30.263,1414.710,1842,34,no-handover,1052.558130,1246395.760000
No-Handover,DYNACOL_DCBO_NO-HANDOVER,500,Normal Load,6,20260766,7.220,4.468,0.000,1415.484,1842,34,no-handover,1683.649854,996123.840000
No-Handover,DYNACOL_DCBO_NO-HANDOVER,500,Normal Load,7,20260767,503.220,111.624,30.263,1414.710,1842,34,no-handover,1052.558130,1246419.320000
No-Handover,DYNACOL_DCBO_NO-HANDOVER,500,Normal Load,8,20260768,7.220,5.223,0.000,1341.161,1778,34,no-handover,869.739548,1309856.000000
No-Handover,DYNACOL_DCBO_NO-HANDOVER,500,Normal Load,9,20260769,7.220,4.468,0.000,1415.484,1842,34,no-handover,1683.649854,1008228.920000
No-Handover,DYNACOL_DCBO_NO-HANDOVER,500,Normal Load,10,20260770,503.220,111.624,30.263,1414.710,1842,34,no-handover,1052.558130,1244851.920000
Full DCBO,DYNACOL_DCBO_FULL,500,Burst Load,9,20338805,7.220,4.450,0.000,1415.484,1842,34,full,1697.905330,1666761.040000
Full DCBO,DYNACOL_DCBO_FULL,500,Burst Load,10,20338806,7.220,9.626,1.414,1416.000,1843,34,full,1622.486393,1656385.920000
No-Handover,DYNACOL_DCBO_NO-HANDOVER,500,Burst Load,1,20311420,8.220,5.910,0.000,1341.161,1778,34,no-handover,877.845809,1987288.760000
No-Handover,DYNACOL_DCBO_NO-HANDOVER,500,Burst Load,2,20311421,7.220,4.450,0.000,1415.484,1842,34,no-handover,1697.905330,1656804.920000
No-Handover,DYNACOL_DCBO_NO-HANDOVER,500,Burst Load,3,20311422,534.220,116.166,30.519,1414.710,1842,34,no-handover,1079.919334,1926852.960000
No-Handover,DYNACOL_DCBO_NO-HANDOVER,500,Burst Load,4,20311423,8.220,5.910,0.000,1341.161,1778,34,no-handover,877.845809,1985881.200000
