method,policy,nodes,scenario,trial,seed,p95_ms,mean_loop_ms,sla_pct,overhead_norm,control_messages,colonies,variant,mean_energy_per_req,total_cost
DynaCol/DCBO,DYNACOL_DCBO,100,Burst Load,1,20264618,297.970,38.323,12.813,1117.333,286,11,,958.411653,286739.360000
DynaCol/DCBO,DYNACOL_DCBO,100,Burst Load,2,20264619,342.220,50.828,17.734,1181.333,298,14,,994.948620,295335.520000
DynaCol/DCBO,DYNACOL_DCBO,100,Burst Load,3,20264620,298.120,38.577,12.817,1117.333,286,11,,958.772324,295731.320000
DynaCol/DCBO,DYNACOL_DCBO,100,Burst Load,4,20264621,297.970,38.323,12.813,1117.333,286,11,,958.411653,287372.880000
DynaCol/DCBO,DYNACOL_DCBO,100,Burst Load,5,20264622,342.220,50.828,17.734,1181.333,298,14,,994.948620,290538.400000
DynaCol/DCBO,DYNACOL_DCBO,100,Burst Load,6,20264623,298.120,38.577,12.817,1117.333,286,11,,958.772324,285927.920000
DynaCol/DCBO,DYNACOL_DCBO,100,Burst Load,7,20264624,297.970,38.323,12.813,1117.333,286,11,,958.411653,284669.960000
DynaCol/DCBO,DYNACOL_DCBO,100,Burst Load,8,20264625,342.220,50.828,17.734,1181.333,298,14,,994.948620,283832.920000
DynaCol/DCBO,DYNACOL_DCBO,100,Burst Load,9,20264626,298.120,38.577,12.817,1117.333,286,11,,958.772324,283961.200000
DynaCol/DCBO,DYNACOL_DCBO,100,Burst Load,10,20264627,297.970,38.323,12.813,1117.333,286,11,,958.411653,288403.480000
DynaCol/DCBO,DYNACOL_DCBO,100,Churn,1,20338144,282.220,36.902,13.340,1117.333,286,11,,943.849019,191505.400000
DynaCol/DCBO,DYNACOL_DCBO,100,Churn,2,20338145,282.220,36.779,13.341,1117.333,286,11,,943.871883,198914.760000
DynaCol/DCBO,DYNACOL_DCBO,100,Churn,3,20338146,318.220,48.813,18.418,1189.333,300,14,,977.340757,188324.000000
DynaCol/DCBO,DYNACOL_DCBO,100,Churn,4,20338147,282.220,36.902,13.340,1138.667,291,11,,943.849019,200086.600000
