method,policy,nodes,scenario,trial,seed,p95_ms,mean_loop_ms,sla_pct,overhead_norm,control_messages,colonies,variant,mean_energy_per_req,total_cost
Dogani-TwoTier,DOGANI_TWOTIER,100,Burst Load,1,20359014,361.220,60.866,21.878,253.333,76,1,,712.907867,323810.360000
Dogani-TwoTier,DOGANI_TWOTIER,100,Burst Load,2,20359015,346.220,51.875,18.267,253.333,76,1,,694.436093,330650.360000
Dogani-TwoTier,DOGANI_TWOTIER,100,Burst Load,3,20359016,346.220,51.692,18.263,253.333,76,1,,694.236116,330507.520000
Dogani-TwoTier,DOGANI_TWOTIER,100,Burst Load,4,20359017,361.220,60.866,21.878,253.333,76,1,,712.907867,323960.360000
Dogani-TwoTier,DOGANI_TWOTIER,100,Burst Load,5,20359018,346.220,51.875,18.267,253.333,76,1,,694.436093,343980.360000
Dogani-TwoTier,DOGANI_TWOTIER,100,Burst Load,6,20359019,346.220,51.692,18.263,253.333,76,1,,694.236116,325982.520000
Dogani-TwoTier,DOGANI_TWOTIER,100,Burst Load,7,20359020,361.220,60.866,21.878,253.333,76,1,,712.907867,324045.360000
Dogani-TwoTier,DOGANI_TWOTIER,100,Burst Load,8,20359021,346.220,51.875,18.267,253.333,76,1,,694.436093,330830.360000
Dogani-TwoTier,DOGANI_TWOTIER,100,Burst Load,9,20359022,346.220,51.692,18.263,253.333,76,1,,694.236116,325967.520000
Dogani-TwoTier,DOGANI_TWOTIER,100,Burst Load,10,20359023,361.220,60.866,21.878,253.333,76,1,,712.907867,323780.360000
Dogani-TwoTier,DOGANI_TWOTIER,100,Churn,1,20314978,322.220,49.977,18.976,253.333,76,1,,682.580749,232510.360000
Dogani-TwoTier,DOGANI_TWOTIER,100,Churn,2,20314979,322.220,49.891,18.977,253.333,76,1,,682.578057,236869.520000
Dogani-TwoTier,DOGANI_TWOTIER,100,Churn,3,20314980,342.220,58.689,22.691,253.333,76,1,,699.632580,234930.360000
Dogani-TwoTier,DOGANI_TWOTIER,100,Churn,4,20314981,322.220,49.977,18.976,253.333,76,1,,682.580749,232715.360000
Dogani-TwoTier,DOGANI_TWOTIER,100,Churn,5,20314982,322.220,49.891,18.977,253.333,76,1,,682.578057,232324.520000
Dogani-TwoTier,DOGANI_TWOTIER,100,Churn,6,20314983,342.220,58.689,22.691,253.333,76,1,,699.632580,230310.360000
Dogani-TwoTier,DOGANI_TWOTIER,100,Churn,7,20314984,322.220,49.977,18.976,253.333,76,1,,682.580749,232625.360000
Dogani-TwoTier,DOGANI_TWOTIER,100,Churn,8,20314985,322.220,49.891,18.977,253.333,76,1,,682.578057,236889.520000
Dogani-TwoTier,DOGANI_TWOTIER,100,Churn,9,20314986,342.220,58.689,22.691,253.333,76,1,,699.632580,256920.360000
Dogani-TwoTier,DOGANI_TWOTIER,100,Churn,10,20314987,322.220,49.977,18.976,253.333,76,1,,682.580749,237015.360000
Dogani-TwoTier,DOGANI_TWOTIER,100,Normal Load,1,20287737,342.220,58.689,21.963,253.333,76,1,,699.632580,230340.360000
Dogani-TwoTier,DOGANI_TWOTIER,100,Normal Load,2,20287738,322.220,49.977,18.366,253.333,76,1,,682.580749,232590.360000
Dogani-TwoTier,DOGANI_TWOTIER,100,Normal Load,3,20287739,322.220,49.891,18.368,253.333,76,1,,682.578057,232394.520000
Dogani-TwoTier,DOGANI_TWOTIER,100,Normal Load,4,20287740,342.220,58.689,21.963,253.333,76,1,,699.632580,234945.360000
Dogani-TwoTier,DOGANI_TWOTIER,100,Normal Load,5,20287741,322.220,49.977,18.366,253.333,76,1,,682.580749,237015.360000
Dogani-TwoTier,DOGANI_TWOTIER,100,Normal Load,6,20287742,322.220,49.891,18.368,253.333,76,1,,682.578057,232274.520000
