method,policy,nodes,scenario,trial,seed,p95_ms,mean_loop_ms,sla_pct,overhead_norm,control_messages,colonies,variant
Edgeward,EDGEWARD,100,Burst Load,1,20356864,1303.010,624.671,86.741,0.000,0,0,
Edgeward,EDGEWARD,100,Burst Load,2,20356865,1282.010,619.800,87.540,0.000,0,0,
Edgeward,EDGEWARD,100,Burst Load,3,20356866,1286.010,616.601,86.712,0.000,0,0,
Edgeward,EDGEWARD,100,Burst Load,4,20334957,1286.010,616.601,86.712,0.000,0,0,
Edgeward,EDGEWARD,100,Burst Load,5,20334958,1303.010,624.671,86.741,0.000,0,0,
Edgeward,EDGEWARD,100,Burst Load,6,20334959,1282.010,619.800,87.540,0.000,0,0,
Edgeward,EDGEWARD,100,Burst Load,7,20334960,1286.010,616.601,86.712,0.000,0,0,
Edgeward,EDGEWARD,100,Burst Load,8,20334961,1303.010,624.671,86.741,0.000,0,0,
Edgeward,EDGEWARD,100,Burst Load,9,20334962,1282.010,619.800,87.540,0.000,0,0,
Edgeward,EDGEWARD,100,Burst Load,10,20334963,1286.010,616.601,86.712,0.000,0,0,
Edgeward,EDGEWARD,100,Churn,1,20273404,1315.315,565.835,74.708,0.000,0,0,
Edgeward,EDGEWARD,100,Churn,2,20273405,1361.375,662.420,85.583,0.000,0,0,
Edgeward,EDGEWARD,100,Churn,3,20273406,1406.220,792.075,100.000,0.000,0,0,
Edgeward,EDGEWARD,100,Churn,4,20267409,1406.220,792.075,100.000,0.000,0,0,
Edgeward,EDGEWARD,100,Churn,5,20267410,1313.465,565.152,74.719,0.000,0,0,
Edgeward,EDGEWARD,100,Churn,6,20267411,1360.965,662.593,85.584,0.000,0,0,
Edgeward,EDGEWARD,100,Churn,7,20267412,1406.220,792.070,100.000,0.000,0,0,
Edgeward,EDGEWARD,100,Churn,8,20267413,1314.465,565.517,74.717,0.000,0,0,
Edgeward,EDGEWARD,100,Churn,9,20267414,1362.035,662.755,85.576,0.000,0,0,
Edgeward,EDGEWARD,100,Churn,10,20267415,1406.220,792.076,100.000,0.000,0,0,
Edgeward,EDGEWARD,100,Normal Load,1,20357906,1361.265,662.534,85.577,0.000,0,0,
Edgeward,EDGEWARD,100,Normal Load,2,20357907,1406.220,792.076,100.000,0.000,0,0,
Edgeward,EDGEWARD,100,Normal Load,3,20357908,1313.385,565.166,74.732,0.000,0,0,
Edgeward,EDGEWARD,100,Normal Load,4,20346959,1361.665,662.918,85.579,0.000,0,0,
Edgeward,EDGEWARD,100,Normal Load,5,20346960,1406.220,792.073,100.000,0.000,0,0,
Edgeward,EDGEWARD,100,Normal Load,6,20346961,1315.465,565.991,74.710,0.000,0,0,
Edgeward,EDGEWARD,100,Normal Load,7,20346962,1361.265,663.092,85.589,0.000,0,0,
Edgeward,EDGEWARD,100,Normal Load,8,20346963,1406.220,792.076,100.000,0.000,0,0,
Edgeward,EDGEWARD,100,Normal Load,9,20346964,1315.265,565.768,74.706,0.000,0,0,
Edgeward,EDGEWARD,100,Normal Load,10,20346965,1361.865,662.747,85.579,0.000,0,0,
Edgeward,EDGEWARD,1000,Burst Load,1,20348405,2370.010,1119.927,83.964,0.000,0,0,
Edgeward,EDGEWARD,1000,Burst Load,2,20348406,2370.010,1118.937,83.849,0.000,0,0,
Edgeward,EDGEWARD,1000,Burst Load,3,20348407,2375.010,1120.407,83.851,0.000,0,0,
Edgeward,EDGEWARD,1000,Burst Load,4,20308247,2370.010,1119.927,83.964,0.000,0,0,
Edgeward,EDGEWARD,1000,Burst Load,5,20308248,2370.010,1118.937,83.849,0.000,0,0,
Edgeward,EDGEWARD,1000,Burst Load,6,20308249,2375.010,1120.407,83.851,0.000,0,0,
Edgeward,EDGEWARD,1000,Burst Load,7,20308250,2370.010,1119.927,83.964,0.000,0,0,
Edgeward,EDGEWARD,1000,Burst Load,8,20308251,2370.010,1118.937,83.849,0.000,0,0,
Edgeward,EDGEWARD,1000,Burst Load,9,20308252,2375.010,1120.407,83.851,0.000,0,0,
Edgeward,EDGEWARD,1000,Burst Load,10,20308253,2370.010,1119.927,83.964,0.000,0,0,
Edgeward,EDGEWARD,1000,Churn,1,20264945,8.220,5.794,0.000,0.000,0,0,
Edgeward,EDGEWARD,1000,Churn,2,20264946,8.220,5.810,0.000,0.000,0,0,
Edgeward,EDGEWARD,1000,Churn,3,20264947,8.220,5.824,0.000,0.000,0,0,
Edgeward,EDGEWARD,1000,Churn,4,20358714,8.220,5.823,0.000,0.000,0,0,
Edgeward,EDGEWARD,1000,Churn,5,20358715,8.220,5.831,0.000,0.000,0,0,
Edgeward,EDGEWARD,1000,Churn,6,20358716,8.220,5.797,0.000,0.000,0,0,
Edgeward,EDGEWARD,1000,Churn,7,20358717,8.220,5.799,0.000,0.000,0,0,
Edgeward,EDGEWARD,1000,Churn,8,20358718,8.220,5.831,0.000,0.000,0,0,
Edgeward,EDGEWARD,1000,Churn,9,20358719,8.220,5.785,0.000,0.000,0,0,
Edgeward,EDGEWARD,1000,Churn,10,20358720,8.220,5.808,0.000,0.000,0,0,
Edgeward,EDGEWARD,1000,Normal Load,1,20270871,8.220,5.827,0.000,0.000,0,0,
Edgeward,EDGEWARD,1000,Normal Load,2,20270872,8.220,5.798,0.000,0.000,0,0,
Edgeward,EDGEWARD,1000,Normal Load,3,20270873,8.220,5.785,0.000,0.000,0,0,
Edgeward,EDGEWARD,1000,Normal Load,4,20336491,8.220,5.802,0.000,0.000,0,0,
Edgeward,EDGEWARD,1000,Normal Load,5,20336492,8.220,5.779,0.000,0.000,0,0,
Edgeward,EDGEWARD,1000,Normal Load,6,20336493,8.220,5.812,0.000,0.000,0,0,
Edgeward,EDGEWARD,1000,Normal Load,7,20336494,8.220,5.793,0.000,0.000,0,0,
Edgeward,EDGEWARD,1000,Normal Load,8,20336495,8.220,5.801,0.000,0.000,0,0,
Edgeward,EDGEWARD,1000,Normal Load,9,20336496,8.220,5.811,0.000,0.000,0,0,
Edgeward,EDGEWARD,1000,Normal Load,10,20336497,8.220,5.807,0.000,0.000,0,0,
Edgeward,EDGEWARD,300,Burst Load,1,20284054,1528.010,761.751,92.947,0.000,0,0,
Edgeward,EDGEWARD,300,Burst Load,2,20284055,1520.250,689.394,92.915,0.000,0,0,
Edgeward,EDGEWARD,300,Burst Load,3,20284056,1520.250,698.364,92.900,0.000,0,0,
Edgeward,EDGEWARD,300,Burst Load,4,20268619,1528.010,760.701,92.950,0.000,0,0,
Edgeward,EDGEWARD,300,Burst Load,5,20268620,1520.250,689.135,92.916,0.000,0,0,
Edgeward,EDGEWARD,300,Burst Load,6,20268621,1520.250,698.195,92.902,0.000,0,0,
Edgeward,EDGEWARD,300,Burst Load,7,20268622,1528.010,762.181,92.937,0.000,0,0,
Edgeward,EDGEWARD,300,Burst Load,8,20268623,1520.250,688.596,92.917,0.000,0,0,
Edgeward,EDGEWARD,300,Burst Load,9,20268624,1520.250,698.112,92.901,0.000,0,0,
Edgeward,EDGEWARD,300,Burst Load,10,20268625,1528.010,761.600,92.941,0.000,0,0,
Edgeward,EDGEWARD,300,Churn,1,20300594,8.220,5.655,0.000,0.000,0,0,
Edgeward,EDGEWARD,300,Churn,2,20300595,8.220,5.710,0.000,0.000,0,0,
Edgeward,EDGEWARD,300,Churn,3,20300596,8.220,5.743,0.000,0.000,0,0,
