method,policy,nodes,scenario,trial,seed,p95_ms,mean_loop_ms,sla_pct,overhead_norm,control_messages,colonies,variant,mean_energy_per_req,total_cost
DynaCol/DCBO,DYNACOL_DCBO,500,Normal Load,3,20283603,7.220,9.518,1.426,1416.000,1843,34,,1607.577891,1008312.520000
DynaCol/DCBO,DYNACOL_DCBO,500,Normal Load,2,20283602,7.220,4.468,0.000,1415.484,1842,34,,1683.649854,994505.520000
DynaCol/DCBO,DYNACOL_DCBO,500,Normal Load,4,20283604,7.220,5.223,0.000,1341.161,1778,34,,869.739548,1312293.760000
DynaCol/DCBO,DYNACOL_DCBO,500,Normal Load,1,20283601,7.220,5.223,0.000,1341.161,1778,34,,869.739548,1310792.280000
DynaCol/DCBO,DYNACOL_DCBO,500,Normal Load,5,20283605,7.220,4.468,0.000,1415.484,1842,34,,1683.649854,985117.640000
DynaCol/DCBO,DYNACOL_DCBO,500,Normal Load,6,20283606,7.220,9.518,1.426,1416.000,1843,34,,1607.577891,974070.320000
DynaCol/DCBO,DYNACOL_DCBO,500,Normal Load,8,20283608,7.220,4.468,0.000,1415.484,1842,34,,1683.649854,995072.320000
DynaCol/DCBO,DYNACOL_DCBO,500,Normal Load,7,20283607,7.220,5.223,0.000,1341.161,1778,34,,869.739548,1316276.960000
DynaCol/DCBO,DYNACOL_DCBO,500,Normal Load,9,20283609,7.220,9.518,1.426,1416.000,1843,34,,1607.577891,1002339.320000
DynaCol/DCBO,DYNACOL_DCBO,500,Normal Load,10,20283610,7.220,5.223,0.000,1341.161,1778,34,,869.739548,1315115.960000
DynaCol/DCBO,DYNACOL_DCBO,500,Burst Load,3,20354786,7.220,4.450,0.000,1415.484,1842,34,,1697.905330,1668433.720000
DynaCol/DCBO,DYNACOL_DCBO,500,Burst Load,4,20354787,7.220,9.626,1.414,1416.000,1843,34,,1622.486393,1664460.440000
DynaCol/DCBO,DYNACOL_DCBO,500,Burst Load,1,20354784,7.220,9.626,1.414,1416.000,1843,34,,1622.486393,1646898.320000
DynaCol/DCBO,DYNACOL_DCBO,500,Burst Load,2,20354785,8.220,5.910,0.000,1341.161,1778,34,,877.845809,1992327.280000
DynaCol/DCBO,DYNACOL_DCBO,500,Burst Load,6,20354789,7.220,4.450,0.000,1415.484,1842,34,,1697.905330,1663639.920000
DynaCol/DCBO,DYNACOL_DCBO,500,Burst Load,5,20354788,8.220,5.910,0.000,1341.161,1778,34,,877.845809,1997385.400000
DynaCol/DCBO,DYNACOL_DCBO,500,Burst Load,7,20354790,7.220,9.626,1.414,1416.000,1843,34,,1622.486393,1695312.320000
DynaCol/DCBO,DYNACOL_DCBO,500,Churn,1,20318253,7.220,9.518,1.466,1456.774,1894,34,,1615.141276,1095562.720000
DynaCol/DCBO,DYNACOL_DCBO,500,Burst Load,8,20354791,8.220,5.910,0.000,1341.161,1778,34,,877.845809,1991545.880000
DynaCol/DCBO,DYNACOL_DCBO,500,Churn,2,20318254,7.220,5.221,0.000,1379.355,1815,35,,871.847276,1484137.560000
DynaCol/DCBO,DYNACOL_DCBO,500,Churn,3,20318255,7.220,4.468,0.000,1460.129,1898,34,,1687.803755,1062676.720000
DynaCol/DCBO,DYNACOL_DCBO,500,Churn,4,20318256,7.220,9.603,1.491,1458.323,1895,34,,1614.735818,1188050.680000
DynaCol/DCBO,DYNACOL_DCBO,500,Churn,5,20318257,7.220,5.221,0.000,1389.677,1828,35,,871.846902,1464496.720000
DynaCol/DCBO,DYNACOL_DCBO,500,Churn,6,20318258,7.220,4.468,0.000,1470.968,1910,34,,1687.803755,1073786.720000
DynaCol/DCBO,DYNACOL_DCBO,500,Churn,7,20318259,7.220,9.518,1.466,1455.484,1892,34,,1615.141276,1084910.320000
DynaCol/DCBO,DYNACOL_DCBO,500,Churn,9,20318261,7.220,4.468,0.000,1468.387,1907,34,,1687.803755,1039385.720000
DynaCol/DCBO,DYNACOL_DCBO,500,Churn,8,20318260,7.220,5.221,0.000,1393.290,1832,34,,871.847126,1471735.320000
DynaCol/DCBO,DYNACOL_DCBO,500,Churn,10,20318262,7.220,9.518,1.466,1461.677,1900,34,,1615.141276,1073995.040000
Static-DCBO,STATIC_DCBO,500,Normal Load,1,20357491,457.220,71.664,18.978,357.677,594,99,,671.432704,1624765.680000
Static-DCBO,STATIC_DCBO,500,Normal Load,2,20357492,457.220,71.664,18.978,357.677,594,99,,671.432704,1632765.680000
Static-DCBO,STATIC_DCBO,500,Normal Load,3,20357493,457.220,71.664,18.978,357.677,594,99,,671.432704,1624340.680000
Static-DCBO,STATIC_DCBO,500,Normal Load,4,20357494,457.220,71.664,18.978,357.677,594,99,,671.432704,1624710.680000
Static-DCBO,STATIC_DCBO,500,Normal Load,5,20357495,457.220,71.664,18.978,357.677,594,99,,671.432704,1814245.680000
Static-DCBO,STATIC_DCBO,500,Normal Load,6,20357496,457.220,71.664,18.978,357.677,594,99,,671.432704,1624120.680000
Static-DCBO,STATIC_DCBO,500,Normal Load,7,20357497,457.220,71.664,18.978,357.677,594,99,,671.432704,1633785.680000
Static-DCBO,STATIC_DCBO,500,Normal Load,8,20357498,457.220,71.664,18.978,357.677,594,99,,671.432704,1814385.680000
Static-DCBO,STATIC_DCBO,500,Normal Load,9,20357499,457.220,71.664,18.978,357.677,594,99,,671.432704,1624410.680000
Static-DCBO,STATIC_DCBO,500,Normal Load,10,20357500,457.220,71.664,18.978,357.677,594,99,,671.432704,1629615.680000
DynaCol/DCBO,DYNACOL_DCBO,500,Burst Load,9,20354792,7.220,4.450,0.000,1415.484,1842,34,,1697.905330,1699987.120000
