method,policy,nodes,scenario,trial,seed,p95_ms,mean_loop_ms,sla_pct,overhead_norm,control_messages,colonies,variant
FogPlan-MinCost,FOGPLAN_MIN_COST,100,Burst Load,1,20325487,273.665,89.689,41.969,253.333,76,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,100,Burst Load,2,20325488,278.465,90.666,41.835,253.333,76,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,100,Burst Load,3,20325489,275.865,89.937,41.904,253.333,76,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,100,Burst Load,4,20350773,276.465,90.504,41.887,253.333,76,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,100,Burst Load,5,20350774,275.665,90.072,41.917,253.333,76,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,100,Burst Load,6,20350775,272.865,89.842,42.004,253.333,76,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,100,Burst Load,7,20350776,276.665,90.132,41.887,253.333,76,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,100,Burst Load,8,20350777,276.265,90.381,41.887,253.333,76,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,100,Burst Load,9,20350778,277.745,90.862,41.861,253.333,76,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,100,Burst Load,10,20350779,273.465,89.516,41.939,253.333,76,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,100,Churn,1,20292899,262.465,88.020,42.495,253.333,76,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,100,Churn,2,20292900,261.665,87.580,42.529,253.333,76,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,100,Churn,3,20292901,265.865,88.070,42.391,253.333,76,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,100,Churn,4,20292812,268.465,88.531,42.339,253.333,76,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,100,Churn,5,20292813,266.665,87.907,42.400,253.333,76,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,100,Churn,6,20292814,262.220,88.294,42.512,253.333,76,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,100,Churn,7,20292815,262.865,87.697,42.499,253.333,76,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,100,Churn,8,20292816,259.220,86.959,42.598,253.333,76,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,100,Churn,9,20292817,262.220,88.358,42.516,253.333,76,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,100,Churn,10,20292818,265.845,87.993,42.395,253.333,76,1,
FogPlan-MinCost,FOGPLAN_MIN_COST,100,Normal Load,1,20360119,262.265,88.163,42.197,253.333,76,1,
