method,policy,nodes,scenario,trial,seed,p95_ms,mean_loop_ms,sla_pct,overhead_norm,control_messages,colonies,variant,mean_energy_per_req,total_cost
Greedy-Nearest,GREEDY_NEAREST,100,Burst Load,1,20301942,361.220,60.866,21.878,253.333,76,1,,712.907867,328585.360000
Greedy-Nearest,GREEDY_NEAREST,100,Burst Load,2,20301943,346.220,51.875,18.267,253.333,76,1,,694.436093,330375.360000
Greedy-Nearest,GREEDY_NEAREST,100,Burst Load,3,20301944,346.220,51.692,18.263,253.333,76,1,,694.236116,330512.520000
Greedy-Nearest,GREEDY_NEAREST,100,Burst Load,4,20301945,361.220,60.866,21.878,253.333,76,1,,712.907867,323885.360000
Greedy-Nearest,GREEDY_NEAREST,100,Burst Load,5,20301946,346.220,51.875,18.267,253.333,76,1,,694.436093,326335.360000
Greedy-Nearest,GREEDY_NEAREST,100,Burst Load,6,20301947,346.220,51.692,18.263,253.333,76,1,,694.236116,330317.520000
Greedy-Nearest,GREEDY_NEAREST,100,Burst Load,7,20301948,361.220,60.866,21.878,253.333,76,1,,712.907867,341845.360000
Greedy-Nearest,GREEDY_NEAREST,100,Burst Load,8,20301949,346.220,51.875,18.267,253.333,76,1,,694.436093,330700.360000
Greedy-Nearest,GREEDY_NEAREST,100,Burst Load,9,20301950,346.220,51.692,18.263,253.333,76,1,,694.236116,326127.520000
Greedy-Nearest,GREEDY_NEAREST,100,Burst Load,10,20301951,361.220,60.866,21.878,253.333,76,1,,712.907867,323910.360000
Greedy-Nearest,GREEDY_NEAREST,100,Churn,1,20273745,342.220,58.689,22.691,253.333,76,1,,699.632580,230420.360000
Greedy-Nearest,GREEDY_NEAREST,100,Churn,2,20273746,322.220,49.977,18.976,253.333,76,1,,682.580749,232510.360000
Greedy-Nearest,GREEDY_NEAREST,100,Churn,3,20273747,322.220,49.891,18.977,253.333,76,1,,682.578057,232254.520000
Greedy-Nearest,GREEDY_NEAREST,100,Churn,4,20273748,342.220,58.689,22.691,253.333,76,1,,699.632580,243545.360000
Greedy-Nearest,GREEDY_NEAREST,100,Churn,5,20273749,322.220,49.977,18.976,253.333,76,1,,682.580749,232450.360000
Greedy-Nearest,GREEDY_NEAREST,100,Churn,6,20273750,322.220,49.891,18.977,253.333,76,1,,682.578057,236779.520000
Greedy-Nearest,GREEDY_NEAREST,100,Churn,7,20273751,342.220,58.689,22.691,253.333,76,1,,699.632580,230190.360000
Greedy-Nearest,GREEDY_NEAREST,100,Churn,8,20273752,322.220,49.977,18.976,253.333,76,1,,682.580749,232475.360000
Greedy-Nearest,GREEDY_NEAREST,100,Churn,9,20273753,322.220,49.891,18.977,253.333,76,1,,682.578057,236754.520000
