method,policy,nodes,scenario,trial,seed,p95_ms,mean_loop_ms,sla_pct,overhead_norm,control_messages,colonies,variant,mean_energy_per_req,total_cost
DynaCol/DCBO,DYNACOL_DCBO,100,Incremental Arrival (Normal),3,20262122,636.665,258.332,65.084,1298.667,332,8,,1259.310494,292192.760000
DynaCol/DCBO,DYNACOL_DCBO,100,Incremental Arrival (Normal),4,20262123,614.765,248.323,66.250,1281.333,329,7,,1185.240226,306475.680000
DynaCol/DCBO,DYNACOL_DCBO,100,Incremental Arrival (Normal),2,20262121,583.545,197.416,52.594,1085.333,280,12,,1031.215272,305028.320000
DynaCol/DCBO,DYNACOL_DCBO,100,Incremental Arrival (Normal),1,20262120,614.265,248.282,66.246,1281.333,329,7,,1185.396014,284826.800000
DynaCol/DCBO,DYNACOL_DCBO,100,Incremental Arrival (Normal),5,20262124,583.665,197.524,52.545,1085.333,280,12,,1032.274498,294854.600000
DynaCol/DCBO,DYNACOL_DCBO,100,Incremental Arrival (Burst),4,20268671,642.785,257.871,64.644,1298.667,332,8,,1284.241281,383652.880000
DynaCol/DCBO,DYNACOL_DCBO,100,Incremental Arrival (Burst),3,20268670,588.075,197.457,52.184,1085.333,280,12,,1050.365512,367198.720000
DynaCol/DCBO,DYNACOL_DCBO,100,Incremental Arrival (Burst),2,20268669,618.635,249.717,66.079,1281.333,329,7,,1208.148542,370021.920000
DynaCol/DCBO,DYNACOL_DCBO,100,Incremental Arrival (Burst),1,20268668,642.075,257.992,64.699,1298.667,332,8,,1282.278700,378036.080000
Static-DCBO,STATIC_DCBO,100,Incremental Arrival (Normal),1,20340251,520.665,182.697,55.692,253.333,76,19,,936.255867,299692.560000
Static-DCBO,STATIC_DCBO,100,Incremental Arrival (Normal),2,20340252,522.585,200.682,62.122,253.333,76,19,,971.216151,290261.800000
Static-DCBO,STATIC_DCBO,100,Incremental Arrival (Normal),3,20340253,518.345,183.187,55.750,253.333,76,19,,934.886619,295792.600000
Static-DCBO,STATIC_DCBO,100,Incremental Arrival (Normal),4,20340254,519.265,182.764,55.705,253.333,76,19,,935.966870,319738.160000
Static-DCBO,STATIC_DCBO,100,Incremental Arrival (Normal),5,20340255,522.555,200.871,62.134,253.333,76,19,,970.905196,287257.200000
DynaCol/DCBO,DYNACOL_DCBO,100,Incremental Arrival (Burst),5,20268672,618.665,249.852,66.053,1281.333,329,7,,1209.095367,383670.000000
Static-DCBO,STATIC_DCBO,100,Incremental Arrival (Burst),1,20346799,526.915,185.310,55.423,253.333,76,19,,957.117382,376350.920000
Static-DCBO,STATIC_DCBO,100,Incremental Arrival (Burst),2,20346800,525.405,184.483,55.443,253.333,76,19,,955.967964,381910.360000
Static-DCBO,STATIC_DCBO,100,Incremental Arrival (Burst),3,20346801,527.095,202.909,62.139,253.333,76,19,,991.474399,391880.720000
Static-DCBO,STATIC_DCBO,100,Incremental Arrival (Burst),4,20346802,526.075,185.309,55.442,253.333,76,19,,956.725040,385773.920000
Static-DCBO,STATIC_DCBO,100,Incremental Arrival (Burst),5,20346803,527.065,184.562,55.416,253.333,76,19,,956.555709,394961.680000
DynaCol/DCBO,DYNACOL_DCBO,100,Incremental Arrival (Mobility),1,20272960,584.465,200.201,53.164,1165.333,300,12,,1042.626991,290617.720000
DynaCol/DCBO,DYNACOL_DCBO,100,Incremental Arrival (Mobility),2,20272961,635.605,254.167,64.102,1378.667,352,8,,1237.643073,304368.280000
DynaCol/DCBO,DYNACOL_DCBO,100,Incremental Arrival (Mobility),3,20272962,611.275,243.175,64.404,1361.333,349,7,,1150.611492,277013.520000
DynaCol/DCBO,DYNACOL_DCBO,100,Incremental Arrival (Mobility),4,20272963,579.465,198.576,54.960,1165.333,300,12,,1022.010073,310404.120000
DynaCol/DCBO,DYNACOL_DCBO,100,Incremental Arrival (Mobility),5,20272964,637.665,256.239,64.468,1374.667,351,8,,1251.423372,267826.360000
DynaCol/DCBO,DYNACOL_DCBO,100,Incremental Arrival (Mobility + Burst),1,20325481,590.065,198.621,52.464,1165.333,300,12,,1056.461864,386928.800000
DynaCol/DCBO,DYNACOL_DCBO,100,Incremental Arrival (Mobility + Burst),2,20325482,638.335,244.543,61.301,1370.667,350,8,,1215.721729,382583.880000
DynaCol/DCBO,DYNACOL_DCBO,100,Incremental Arrival (Mobility + Burst),3,20325483,618.465,253.202,66.817,1353.333,347,7,,1231.125699,371200.720000
DynaCol/DCBO,DYNACOL_DCBO,100,Incremental Arrival (Mobility + Burst),4,20325484,591.635,204.045,55.195,1165.333,300,12,,1069.238701,402177.080000
DynaCol/DCBO,DYNACOL_DCBO,100,Incremental Arrival (Mobility + Burst),5,20325485,639.835,251.867,63.244,1370.667,350,8,,1253.701495,403045.400000
DynaCol/DCBO,DYNACOL_DCBO,300,Incremental Arrival (Normal),1,20317960,889.235,161.055,27.584,1246.270,1008,33,,1497.303758,659232.363348
DynaCol/DCBO,DYNACOL_DCBO,300,Incremental Arrival (Normal),2,20317961,955.055,222.334,37.903,1448.649,1160,21,,2035.711267,599209.520000
DynaCol/DCBO,DYNACOL_DCBO,300,Incremental Arrival (Normal),3,20317962,979.045,254.029,43.225,1423.568,1139,21,,2316.474552,567374.720000
DynaCol/DCBO,DYNACOL_DCBO,300,Incremental Arrival (Normal),4,20317963,887.815,160.982,27.525,1246.270,1008,33,,1498.527490,682117.122679
DynaCol/DCBO,DYNACOL_DCBO,300,Incremental Arrival (Normal),5,20317964,955.615,222.514,37.919,1448.649,1160,21,,2035.206253,591487.440000
DynaCol/DCBO,DYNACOL_DCBO,300,Incremental Arrival (Burst),1,20347369,886.615,160.125,27.269,1246.270,1008,33,,1519.254246,1010229.164688
DynaCol/DCBO,DYNACOL_DCBO,300,Incremental Arrival (Burst),2,20347370,954.465,220.676,37.547,1448.649,1160,21,,2067.717428,937300.400000
DynaCol/DCBO,DYNACOL_DCBO,300,Incremental Arrival (Burst),3,20347371,980.295,253.059,42.935,1423.568,1139,21,,2352.883860,928542.720000
DynaCol/DCBO,DYNACOL_DCBO,300,Incremental Arrival (Burst),4,20347372,886.155,159.487,27.158,1246.270,1008,33,,1521.573718,1005346.764688
DynaCol/DCBO,DYNACOL_DCBO,300,Incremental Arrival (Burst),5,20347373,954.105,220.458,37.577,1448.649,1160,21,,2066.702909,954868.720000
Static-DCBO,STATIC_DCBO,100,Incremental Arrival (Mobility),1,20352088,524.665,191.398,57.914,333.333,96,19,,972.254108,306574.280000
Static-DCBO,STATIC_DCBO,100,Incremental Arrival (Mobility),2,20352089,526.245,192.827,59.670,329.333,95,19,,982.254833,285625.680000
Static-DCBO,STATIC_DCBO,100,Incremental Arrival (Mobility),3,20352090,527.485,199.014,63.285,321.333,93,19,,987.021991,297779.400000
Static-DCBO,STATIC_DCBO,100,Incremental Arrival (Mobility),4,20352091,523.145,178.997,58.911,329.333,95,19,,912.384083,295795.600000
Static-DCBO,STATIC_DCBO,100,Incremental Arrival (Mobility),5,20352092,528.465,184.591,56.258,329.333,95,19,,941.780930,292818.960000
Static-DCBO,STATIC_DCBO,100,Incremental Arrival (Mobility + Burst),1,20304609,527.995,198.786,61.487,325.333,94,19,,1003.193954,392599.600000
Static-DCBO,STATIC_DCBO,100,Incremental Arrival (Mobility + Burst),2,20304610,515.665,176.458,53.654,329.333,95,19,,909.559912,388030.800000
Static-DCBO,STATIC_DCBO,100,Incremental Arrival (Mobility + Burst),3,20304611,530.065,184.333,55.358,329.333,95,19,,952.748231,385404.040000
Static-DCBO,STATIC_DCBO,100,Incremental Arrival (Mobility + Burst),4,20304612,535.865,200.030,68.597,333.333,96,19,,982.811132,388960.800000
Static-DCBO,STATIC_DCBO,100,Incremental Arrival (Mobility + Burst),5,20304613,524.895,187.969,58.368,333.333,96,19,,960.860739,387087.920000
Static-DCBO,STATIC_DCBO,300,Incremental Arrival (Normal),1,20347549,735.665,137.419,30.279,382.703,354,59,,1026.865712,776070.767366
Static-DCBO,STATIC_DCBO,300,Incremental Arrival (Normal),2,20347550,724.115,144.489,33.107,382.703,354,59,,1021.763811,782126.528705
Static-DCBO,STATIC_DCBO,300,Incremental Arrival (Normal),3,20347551,723.655,144.353,33.079,382.703,354,59,,1022.200729,778825.934732
Static-DCBO,STATIC_DCBO,300,Incremental Arrival (Normal),4,20347552,734.035,137.503,30.323,382.703,354,59,,1026.203869,780562.530045
Static-DCBO,STATIC_DCBO,300,Incremental Arrival (Normal),5,20347553,724.925,144.368,33.064,382.703,354,59,,1022.419328,782086.848705
Static-DCBO,STATIC_DCBO,300,Incremental Arrival (Burst),1,20276958,731.355,146.885,33.060,382.703,354,59,,1041.820594,1129051.250714
Static-DCBO,STATIC_DCBO,300,Incremental Arrival (Burst),2,20276959,736.905,138.770,30.203,382.703,354,59,,1045.157525,1128576.687366
Static-DCBO,STATIC_DCBO,300,Incremental Arrival (Burst),3,20276960,726.345,146.011,33.022,382.703,354,59,,1042.421322,1130909.650045
Static-DCBO,STATIC_DCBO,300,Incremental Arrival (Burst),4,20276961,725.535,146.166,33.064,382.703,354,59,,1041.757400,1132296.489375
Static-DCBO,STATIC_DCBO,300,Incremental Arrival (Burst),5,20276962,735.535,138.664,30.196,382.703,354,59,,1045.253026,1123370.888705
