method,policy,nodes,scenario,trial,seed,p95_ms,mean_loop_ms,sla_pct,overhead_norm,control_messages,colonies,variant,mean_energy_per_req,total_cost
Offline-GA,OFFLINE_GA,500,Normal Load,1,20270456,457.220,71.664,18.978,153.290,198,99,,671.432704,1754145.680000
Offline-GA,OFFLINE_GA,500,Burst Load,1,20282537,483.220,74.041,19.011,153.290,198,99,,684.028582,2373038.680000
Offline-GA,OFFLINE_GA,500,Churn,1,20324021,457.220,71.664,19.512,153.290,198,99,,671.432704,1814355.680000
Offline-GA,OFFLINE_GA,500,Normal Load,3,20354374,457.220,71.664,18.978,153.290,198,99,,671.432704,1624900.680000
Offline-GA,OFFLINE_GA,500,Normal Load,5,20354376,457.220,71.664,18.978,153.290,198,99,,671.432704,1633260.680000
Offline-GA,OFFLINE_GA,500,Normal Load,4,20354375,457.220,71.664,18.978,153.290,198,99,,671.432704,1671760.680000
Offline-GA,OFFLINE_GA,500,Normal Load,2,20354373,457.220,71.664,18.978,153.290,198,99,,671.432704,1624380.680000
Offline-GA,OFFLINE_GA,500,Normal Load,6,20354377,457.220,71.664,18.978,153.290,198,99,,671.432704,1628970.680000
Offline-GA,OFFLINE_GA,500,Normal Load,7,20354378,457.220,71.664,18.978,153.290,198,99,,671.432704,1758680.680000
Offline-GA,OFFLINE_GA,500,Normal Load,8,20354379,457.220,71.664,18.978,153.290,198,99,,671.432704,1624770.680000
Offline-GA,OFFLINE_GA,500,Normal Load,9,20354380,457.220,71.664,18.978,153.290,198,99,,671.432704,1624440.680000
Offline-GA,OFFLINE_GA,500,Normal Load,10,20354381,457.220,71.664,18.978,153.290,198,99,,671.432704,1814570.680000
Offline-GA,OFFLINE_GA,500,Burst Load,4,20327750,483.220,74.041,19.011,153.290,198,99,,684.028582,2299998.680000
Offline-GA,OFFLINE_GA,500,Burst Load,2,20327748,483.220,74.041,19.011,153.290,198,99,,684.028582,2313533.680000
Offline-GA,OFFLINE_GA,500,Burst Load,3,20327749,483.220,74.041,19.011,153.290,198,99,,684.028582,2411948.680000
Offline-GA,OFFLINE_GA,500,Burst Load,5,20327751,483.220,74.041,19.011,153.290,198,99,,684.028582,2308743.680000
Offline-GA,OFFLINE_GA,500,Burst Load,6,20327752,483.220,74.041,19.011,153.290,198,99,,684.028582,2484593.680000
Offline-GA,OFFLINE_GA,500,Burst Load,7,20327753,483.220,74.041,19.011,153.290,198,99,,684.028582,2303588.680000
Offline-GA,OFFLINE_GA,500,Burst Load,8,20327754,483.220,74.041,19.011,153.290,198,99,,684.028582,2304503.680000
Offline-GA,OFFLINE_GA,500,Churn,2,20275506,457.220,71.664,19.512,153.290,198,99,,671.432704,1625585.680000
Offline-GA,OFFLINE_GA,500,Churn,3,20275507,457.220,71.664,19.512,153.290,198,99,,671.432704,1624070.680000
Offline-GA,OFFLINE_GA,500,Burst Load,9,20327755,483.220,74.041,19.011,153.290,198,99,,684.028582,2316748.680000
Offline-GA,OFFLINE_GA,500,Churn,4,20275508,457.220,71.664,19.512,153.290,198,99,,671.432704,1641790.680000
Offline-GA,OFFLINE_GA,500,Churn,5,20275509,457.220,71.664,19.512,153.290,198,99,,671.432704,1624700.680000
Offline-GA,OFFLINE_GA,500,Churn,6,20275510,457.220,71.664,19.512,153.290,198,99,,671.432704,1633265.680000
Offline-GA,OFFLINE_GA,500,Churn,7,20275511,457.220,71.664,19.512,153.290,198,99,,671.432704,1629270.680000
Offline-GA,OFFLINE_GA,500,Churn,8,20275512,457.220,71.664,19.512,153.290,198,99,,671.432704,1620550.680000
Offline-GA,OFFLINE_GA,500,Churn,9,20275513,457.220,71.664,19.512,153.290,198,99,,671.432704,1625565.680000
Offline-GA,OFFLINE_GA,500,Churn,10,20275514,457.220,71.664,19.512,153.290,198,99,,671.432704,1784295.680000
Offline-GA,OFFLINE_GA,500,Burst Load,10,20327756,483.220,74.041,19.011,153.290,198,99,,684.028582,2312923.680000
