method,policy,nodes,scenario,trial,seed,p95_ms,mean_loop_ms,sla_pct,overhead_norm,control_messages,colonies,variant,mean_energy_per_req,total_cost
Full DCBO,DYNACOL_DCBO_WT10_MC30,500,Normal Load,3,20341574,401.230,51.784,13.243,1250.581,1683,51,wt10_mc30,949.316110,1273042.000000
Full DCBO,DYNACOL_DCBO_WT10_MC30,500,Normal Load,2,20341573,412.220,55.030,14.166,1251.355,1683,51,wt10_mc30,955.747178,1269087.120000
Full DCBO,DYNACOL_DCBO_WT10_MC30,500,Normal Load,4,20341575,407.220,54.190,13.931,1318.194,1748,67,wt10_mc30,940.383160,1289449.000000
Full DCBO,DYNACOL_DCBO_WT10_MC30,500,Normal Load,1,20341572,407.220,54.190,13.931,1318.194,1748,67,wt10_mc30,940.383160,1289672.000000
Full DCBO,DYNACOL_DCBO_WT10_MC30,500,Normal Load,5,20341576,412.220,55.030,14.166,1251.355,1683,51,wt10_mc30,955.747178,1275752.640000
Full DCBO,DYNACOL_DCBO_WT10_MC30,500,Burst Load,2,20346645,430.220,56.189,13.924,1318.194,1748,67,wt10_mc30,956.266755,1972648.120000
Full DCBO,DYNACOL_DCBO_WT10_MC30,500,Burst Load,3,20346646,434.220,57.071,14.161,1251.355,1683,51,wt10_mc30,972.048773,1959125.720000
Full DCBO,DYNACOL_DCBO_WT10_MC50,500,Normal Load,1,20360384,7.220,4.468,0.000,1415.484,1842,34,wt10_mc50,1683.649854,981514.040000
Full DCBO,DYNACOL_DCBO_WT10_MC30,500,Burst Load,1,20346644,419.220,53.713,13.232,1250.581,1683,51,wt10_mc30,965.023975,1946474.880000
Full DCBO,DYNACOL_DCBO_WT10_MC50,500,Normal Load,2,20360385,7.220,9.518,1.426,1416.000,1843,34,wt10_mc50,1607.577891,969601.640000
Full DCBO,DYNACOL_DCBO_WT10_MC30,500,Burst Load,4,20346647,419.220,53.713,13.232,1250.581,1683,51,wt10_mc30,965.023975,1946919.440000
Full DCBO,DYNACOL_DCBO_WT10_MC50,500,Normal Load,3,20360386,7.220,5.223,0.000,1341.161,1778,34,wt10_mc50,869.739548,1310076.000000
Full DCBO,DYNACOL_DCBO_WT10_MC50,500,Normal Load,4,20360387,7.220,4.468,0.000,1415.484,1842,34,wt10_mc50,1683.649854,999358.520000
Full DCBO,DYNACOL_DCBO_WT10_MC50,500,Normal Load,5,20360388,7.220,9.518,1.426,1416.000,1843,34,wt10_mc50,1607.577891,983678.840000
Full DCBO,DYNACOL_DCBO_WT10_MC30,500,Burst Load,5,20346648,430.220,56.189,13.924,1318.194,1748,67,wt10_mc30,956.266755,1965672.720000
Full DCBO,DYNACOL_DCBO_WT10_MC50,500,Burst Load,3,20297330,7.220,4.450,0.000,1415.484,1842,34,wt10_mc50,1697.905330,1682485.640000
Full DCBO,DYNACOL_DCBO_WT10_MC50,500,Burst Load,2,20297329,8.220,5.910,0.000,1341.161,1778,34,wt10_mc50,877.845809,1994502.800000
Full DCBO,DYNACOL_DCBO_WT10_MC80,500,Normal Load,1,20315981,7.220,4.468,0.000,1415.484,1842,34,wt10_mc80,1683.649854,1003649.840000
Full DCBO,DYNACOL_DCBO_WT10_MC50,500,Burst Load,1,20297328,7.220,9.626,1.414,1416.000,1843,34,wt10_mc50,1622.486393,1661797.320000
Full DCBO,DYNACOL_DCBO_WT10_MC80,500,Normal Load,2,20315982,7.220,9.518,1.426,1416.000,1843,34,wt10_mc80,1607.577891,998442.440000
Full DCBO,DYNACOL_DCBO_WT10_MC80,500,Normal Load,3,20315983,7.220,5.223,0.000,1407.226,1842,34,wt10_mc80,869.739548,1303797.280000
Full DCBO,DYNACOL_DCBO_WT10_MC80,500,Normal Load,4,20315984,7.220,4.468,0.000,1415.484,1842,34,wt10_mc80,1683.649854,983616.120000
Full DCBO,DYNACOL_DCBO_WT10_MC80,500,Normal Load,5,20315985,7.220,9.518,1.426,1416.000,1843,34,wt10_mc80,1607.577891,993747.840000
Full DCBO,DYNACOL_DCBO_WT10_MC50,500,Burst Load,4,20297331,7.220,9.626,1.414,1416.000,1843,34,wt10_mc50,1622.486393,1679329.440000
Full DCBO,DYNACOL_DCBO_WT10_MC50,500,Burst Load,5,20297332,8.220,5.910,0.000,1341.161,1778,34,wt10_mc50,877.845809,1993576.480000
Full DCBO,DYNACOL_DCBO_WT10_MC80,500,Burst Load,2,20352926,7.220,4.450,0.000,1415.484,1842,34,wt10_mc80,1697.905330,1692018.120000
Full DCBO,DYNACOL_DCBO_WT10_MC80,500,Burst Load,1,20352925,8.220,5.910,0.000,1407.226,1842,34,wt10_mc80,877.845809,1992187.280000
Full DCBO,DYNACOL_DCBO_WT20_MC30,500,Normal Load,1,20311465,412.220,55.030,14.166,1251.355,1683,51,wt20_mc30,955.747178,1271805.240000
