method,policy,nodes,scenario,trial,seed,p95_ms,mean_loop_ms,sla_pct,overhead_norm,control_messages,colonies,variant,mean_energy_per_req,total_cost
DynaCol/DCBO,DYNACOL_DCBO,500,Normal Load,3,20306258,7.220,4.468,0.000,1415.484,1842,34,sla_m80,1683.649854,1006337.320000
DynaCol/DCBO,DYNACOL_DCBO,500,Normal Load,4,20306259,7.220,9.518,1.487,1416.000,1843,34,sla_m80,1607.577891,976427.040000
DynaCol/DCBO,DYNACOL_DCBO,500,Normal Load,1,20306256,7.220,9.518,1.487,1416.000,1843,34,sla_m80,1607.577891,979202.920000
DynaCol/DCBO,DYNACOL_DCBO,500,Normal Load,2,20306257,7.220,5.223,0.000,1341.161,1778,34,sla_m80,869.739548,1301782.280000
DynaCol/DCBO,DYNACOL_DCBO,500,Normal Load,5,20306260,7.220,5.223,0.000,1341.161,1778,34,sla_m80,869.739548,1313667.760000
DynaCol/DCBO,DYNACOL_DCBO,500,Burst Load,2,20360618,7.220,4.450,0.000,1415.484,1842,34,sla_m80,1697.905330,1667183.920000
DynaCol/DCBO,DYNACOL_DCBO,500,Burst Load,1,20360617,8.220,5.910,0.000,1341.161,1778,34,sla_m80,877.845809,1992794.880000
DynaCol/DCBO,DYNACOL_DCBO,500,Churn,1,20329863,7.220,9.518,1.517,1458.839,1897,34,sla_m80,1615.141276,1114099.920000
DynaCol/DCBO,DYNACOL_DCBO,500,Burst Load,3,20360619,7.220,9.626,1.473,1416.000,1843,34,sla_m80,1622.486393,1661965.720000
DynaCol/DCBO,DYNACOL_DCBO,500,Churn,2,20329864,7.220,5.221,0.000,1386.065,1824,37,sla_m80,871.870202,1475368.400000
DynaCol/DCBO,DYNACOL_DCBO,500,Churn,3,20329865,7.220,4.468,0.000,1447.484,1882,34,sla_m80,1687.803755,1035996.040000
DynaCol/DCBO,DYNACOL_DCBO,500,Churn,4,20329866,7.220,9.518,1.517,1454.710,1892,34,sla_m80,1615.141276,1092929.840000
