method,policy,nodes,scenario,trial,seed,p95_ms,mean_loop_ms,sla_pct,overhead_norm,control_messages,colonies,variant,mean_energy_per_req,total_cost
DynaCol/DCBO,DYNACOL_DCBO_SLA_SLOPE050,500,Normal Load,1,20310254,7.220,4.468,0.000,1415.484,1842,34,sla_slope050,1683.649854,1019433.920000
DynaCol/DCBO,DYNACOL_DCBO_SLA_SLOPE050,500,Normal Load,4,20310257,7.220,4.468,0.000,1415.484,1842,34,sla_slope050,1683.649854,1005207.520000
DynaCol/DCBO,DYNACOL_DCBO_SLA_SLOPE050,500,Normal Load,2,20310255,7.220,9.518,1.502,1416.000,1843,34,sla_slope050,1607.577891,976649.240000
DynaCol/DCBO,DYNACOL_DCBO_SLA_SLOPE050,500,Normal Load,3,20310256,7.220,5.223,0.000,1341.161,1778,34,sla_slope050,869.739548,1314510.600000
DynaCol/DCBO,DYNACOL_DCBO_SLA_SLOPE050,500,Normal Load,5,20310258,7.220,9.518,1.502,1416.000,1843,34,sla_slope050,1607.577891,989745.320000
DynaCol/DCBO,DYNACOL_DCBO_SLA_SLOPE050,500,Burst Load,2,20320102,8.220,5.910,0.000,1341.161,1778,34,sla_slope050,877.845809,1999216.480000
DynaCol/DCBO,DYNACOL_DCBO_SLA_SLOPE050,500,Burst Load,1,20320101,7.220,9.626,1.473,1416.000,1843,34,sla_slope050,1622.486393,1666282.440000
DynaCol/DCBO,DYNACOL_DCBO_SLA_SLOPE050,500,Burst Load,4,20320104,7.220,9.626,1.473,1416.000,1843,34,sla_slope050,1622.486393,1679099.320000
DynaCol/DCBO,DYNACOL_DCBO_SLA_SLOPE050,500,Churn,1,20278451,7.220,4.468,0.000,1468.129,1907,34,sla_slope050,1687.803755,1040401.320000
DynaCol/DCBO,DYNACOL_DCBO_SLA_SLOPE050,500,Burst Load,3,20320103,7.220,4.450,0.000,1415.484,1842,34,sla_slope050,1697.905330,1661544.120000
DynaCol/DCBO,DYNACOL_DCBO_SLA_SLOPE050,500,Churn,2,20278452,7.220,9.518,1.534,1450.065,1884,34,sla_slope050,1615.141276,1087264.920000
DynaCol/DCBO,DYNACOL_DCBO_SLA_SLOPE050,500,Churn,4,20278454,7.220,4.468,0.000,1470.710,1910,34,sla_slope050,1687.803755,1030968.840000
DynaCol/DCBO,DYNACOL_DCBO_SLA_SLOPE050,500,Churn,3,20278453,7.220,5.221,0.000,1383.484,1820,35,sla_slope050,871.846822,1470044.400000
DynaCol/DCBO,DYNACOL_DCBO_SLA_SLOPE050,500,Churn,5,20278455,7.220,9.518,1.534,1453.677,1890,34,sla_slope050,1615.141276,1089688.720000
DynaCol/DCBO,DYNACOL_DCBO_SLA_SLOPE050,500,Normal Load,1,20311231,7.220,5.223,0.000,1341.161,1778,34,sla_slope050,869.739548,1310204.960000
DynaCol/DCBO,DYNACOL_DCBO_SLA_SLOPE050,500,Normal Load,2,20311232,7.220,4.468,0.000,1415.484,1842,34,sla_slope050,1683.649854,985714.320000
DynaCol/DCBO,DYNACOL_DCBO_SLA_SLOPE050,500,Normal Load,3,20311233,7.220,9.518,1.502,1416.000,1843,34,sla_slope050,1607.577891,986614.720000
DynaCol/DCBO,DYNACOL_DCBO_SLA_SLOPE050,500,Normal Load,5,20311235,7.220,4.468,0.000,1415.484,1842,34,sla_slope050,1683.649854,998786.320000
DynaCol/DCBO,DYNACOL_DCBO_SLA_SLOPE050,500,Normal Load,4,20311234,7.220,5.223,0.000,1341.161,1778,34,sla_slope050,869.739548,1316590.080000
DynaCol/DCBO,DYNACOL_DCBO_SLA_SLOPE050,500,Burst Load,5,20320105,8.220,5.910,0.000,1341.161,1778,34,sla_slope050,877.845809,1990833.280000
DynaCol/DCBO,DYNACOL_DCBO_SLA_SLOPE050,500,Burst Load,2,20304567,7.220,9.626,1.473,1416.000,1843,34,sla_slope050,1622.486393,1655216.520000
DynaCol/DCBO,DYNACOL_DCBO_SLA_SLOPE050,500,Burst Load,3,20304568,8.220,5.910,0.000,1341.161,1778,34,sla_slope050,877.845809,1992201.880000
DynaCol/DCBO,DYNACOL_DCBO_SLA_SLOPE050,500,Burst Load,1,20304566,7.220,4.450,0.000,1415.484,1842,34,sla_slope050,1697.905330,1674685.320000
DynaCol/DCBO,DYNACOL_DCBO_SLA_SLOPE050,500,Churn,1,20268125,7.220,4.468,0.000,1452.129,1888,34,sla_slope050,1687.803755,1039589.520000
DynaCol/DCBO,DYNACOL_DCBO_SLA_SLOPE050,500,Churn,2,20268126,7.220,9.518,1.534,1452.129,1888,34,sla_slope050,1615.141276,1088325.120000
DynaCol/DCBO,DYNACOL_DCBO_SLA_SLOPE050,500,Churn,4,20268128,7.220,4.468,0.000,1462.194,1900,34,sla_slope050,1687.803755,1062169.640000
DynaCol/DCBO,DYNACOL_DCBO_SLA_SLOPE050,500,Churn,3,20268127,7.220,5.222,0.000,1400.000,1840,37,sla_slope050,871.870356,1477687.520000
DynaCol/DCBO,DYNACOL_DCBO_SLA_SLOPE050,500,Normal Load,1,20269269,7.220,9.518,1.502,1416.000,1843,34,sla_slope050,1607.577891,968192.120000
DynaCol/DCBO,DYNACOL_DCBO_SLA_SLOPE050,500,Churn,5,20268129,7.220,9.518,1.534,1470.452,1912,34,sla_slope050,1615.141276,1063198.720000
DynaCol/DCBO,DYNACOL_DCBO_SLA_SLOPE050,500,Normal Load,3,20269271,7.220,4.468,0.000,1415.484,1842,34,sla_slope050,1683.649854,1005849.720000
DynaCol/DCBO,DYNACOL_DCBO_SLA_SLOPE050,500,Normal Load,2,20269270,7.220,5.223,0.000,1341.161,1778,34,sla_slope050,869.739548,1319522.680000
DynaCol/DCBO,DYNACOL_DCBO_SLA_SLOPE050,500,Normal Load,4,20269272,7.220,9.518,1.502,1416.000,1843,34,sla_slope050,1607.577891,995778.120000
