method,policy,nodes,scenario,trial,seed,p95_ms,mean_loop_ms,sla_pct,overhead_norm,control_messages,colonies,variant
Static-DCBO,STATIC_DCBO,100,Burst Load,1,20288029,346.220,51.875,18.267,253.333,76,19,
Static-DCBO,STATIC_DCBO,100,Burst Load,2,20288030,346.220,51.692,18.263,253.333,76,19,
Static-DCBO,STATIC_DCBO,100,Burst Load,3,20288031,361.220,60.866,21.878,253.333,76,19,
Static-DCBO,STATIC_DCBO,100,Burst Load,4,20349226,346.220,51.875,18.267,253.333,76,19,
Static-DCBO,STATIC_DCBO,100,Burst Load,5,20349227,346.220,51.692,18.263,253.333,76,19,
Static-DCBO,STATIC_DCBO,100,Burst Load,6,20349228,361.220,60.866,21.878,253.333,76,19,
Static-DCBO,STATIC_DCBO,100,Burst Load,7,20349229,346.220,51.875,18.267,253.333,76,19,
Static-DCBO,STATIC_DCBO,100,Burst Load,8,20349230,346.220,51.692,18.263,253.333,76,19,
Static-DCBO,STATIC_DCBO,100,Burst Load,9,20349231,361.220,60.866,21.878,253.333,76,19,
Static-DCBO,STATIC_DCBO,100,Burst Load,10,20349232,346.220,51.875,18.267,253.333,76,19,
Static-DCBO,STATIC_DCBO,100,Churn,1,20267044,322.220,49.977,18.976,253.333,76,19,
Static-DCBO,STATIC_DCBO,100,Churn,2,20267045,322.220,49.891,18.977,253.333,76,19,
Static-DCBO,STATIC_DCBO,100,Churn,3,20267046,342.220,58.689,22.691,253.333,76,19,
Static-DCBO,STATIC_DCBO,100,Churn,4,20312442,342.220,58.689,22.691,253.333,76,19,
Static-DCBO,STATIC_DCBO,100,Churn,5,20312443,322.220,49.977,18.976,253.333,76,19,
Static-DCBO,STATIC_DCBO,100,Churn,6,20312444,322.220,49.891,18.977,253.333,76,19,
Static-DCBO,STATIC_DCBO,100,Churn,7,20312445,342.220,58.689,22.691,253.333,76,19,
Static-DCBO,STATIC_DCBO,100,Churn,8,20312446,322.220,49.977,18.976,253.333,76,19,
Static-DCBO,STATIC_DCBO,100,Churn,9,20312447,322.220,49.891,18.977,253.333,76,19,
Static-DCBO,STATIC_DCBO,100,Churn,10,20312448,342.220,58.689,22.691,253.333,76,19,
Static-DCBO,STATIC_DCBO,100,Normal Load,1,20330069,322.220,49.891,18.368,253.333,76,19,
Static-DCBO,STATIC_DCBO,100,Normal Load,2,20330070,342.220,58.689,21.963,253.333,76,19,
Static-DCBO,STATIC_DCBO,100,Normal Load,3,20330071,322.220,49.977,18.366,253.333,76,19,
Static-DCBO,STATIC_DCBO,100,Normal Load,4,20343765,342.220,58.689,21.963,253.333,76,19,
Static-DCBO,STATIC_DCBO,100,Normal Load,5,20343766,322.220,49.977,18.366,253.333,76,19,
Static-DCBO,STATIC_DCBO,100,Normal Load,6,20343767,322.220,49.891,18.368,253.333,76,19,
Static-DCBO,STATIC_DCBO,100,Normal Load,7,20343768,342.220,58.689,21.963,253.333,76,19,
Static-DCBO,STATIC_DCBO,100,Normal Load,8,20343769,322.220,49.977,18.366,253.333,76,19,
Static-DCBO,STATIC_DCBO,100,Normal Load,9,20343770,322.220,49.891,18.368,253.333,76,19,
Static-DCBO,STATIC_DCBO,100,Normal Load,10,20343771,342.220,58.689,21.963,253.333,76,19,
Static-DCBO,STATIC_DCBO,1000,Burst Load,1,20311442,650.220,97.695,18.718,358.040,1194,199,
Static-DCBO,STATIC_DCBO,1000,Burst Load,2,20311443,656.220,99.327,19.049,358.040,1194,199,
Static-DCBO,STATIC_DCBO,1000,Burst Load,3,20311444,650.220,97.713,18.718,358.040,1194,199,
Static-DCBO,STATIC_DCBO,1000,Burst Load,4,20324255,650.220,97.695,18.718,358.040,1194,199,
Static-DCBO,STATIC_DCBO,1000,Burst Load,5,20324256,656.220,99.327,19.049,358.040,1194,199,
Static-DCBO,STATIC_DCBO,1000,Burst Load,6,20324257,650.220,97.713,18.718,358.040,1194,199,
Static-DCBO,STATIC_DCBO,1000,Burst Load,7,20324258,650.220,97.695,18.718,358.040,1194,199,
Static-DCBO,STATIC_DCBO,1000,Burst Load,8,20324259,656.220,99.327,19.049,358.040,1194,199,
Static-DCBO,STATIC_DCBO,1000,Burst Load,9,20324260,650.220,97.713,18.718,358.040,1194,199,
Static-DCBO,STATIC_DCBO,1000,Burst Load,10,20324261,650.220,97.695,18.718,358.040,1194,199,
Static-DCBO,STATIC_DCBO,1000,Churn,1,20342073,603.220,95.184,19.300,383.614,1194,199,
Static-DCBO,STATIC_DCBO,1000,Churn,2,20342074,603.220,93.370,18.887,383.614,1194,199,
Static-DCBO,STATIC_DCBO,1000,Churn,3,20342075,603.220,93.362,18.887,383.614,1194,199,
Static-DCBO,STATIC_DCBO,1000,Churn,4,20335855,603.220,93.370,18.887,383.614,1194,199,
Static-DCBO,STATIC_DCBO,1000,Churn,5,20335856,603.220,93.362,18.887,383.614,1194,199,
Static-DCBO,STATIC_DCBO,1000,Churn,6,20335857,603.220,95.184,19.300,383.614,1194,199,
Static-DCBO,STATIC_DCBO,1000,Churn,7,20335858,603.220,93.370,18.887,383.614,1194,199,
Static-DCBO,STATIC_DCBO,1000,Churn,8,20335859,603.220,93.362,18.887,383.614,1194,199,
Static-DCBO,STATIC_DCBO,1000,Churn,9,20335860,603.220,95.184,19.300,383.614,1194,199,
Static-DCBO,STATIC_DCBO,1000,Churn,10,20335861,603.220,93.370,18.887,383.614,1194,199,
Static-DCBO,STATIC_DCBO,1000,Normal Load,1,20321610,604.220,94.912,18.514,358.040,1194,199,
Static-DCBO,STATIC_DCBO,1000,Normal Load,2,20321611,603.220,93.370,18.195,358.040,1194,199,
Static-DCBO,STATIC_DCBO,1000,Normal Load,3,20321612,603.220,93.362,18.195,358.040,1194,199,
Static-DCBO,STATIC_DCBO,1000,Normal Load,4,20335306,603.220,93.370,18.195,358.040,1194,199,
Static-DCBO,STATIC_DCBO,1000,Normal Load,5,20335307,603.220,93.362,18.195,358.040,1194,199,
Static-DCBO,STATIC_DCBO,1000,Normal Load,6,20335308,604.220,94.912,18.514,358.040,1194,199,
Static-DCBO,STATIC_DCBO,1000,Normal Load,7,20335309,603.220,93.370,18.195,358.040,1194,199,
Static-DCBO,STATIC_DCBO,1000,Normal Load,8,20335310,603.220,93.362,18.195,358.040,1194,199,
Static-DCBO,STATIC_DCBO,1000,Normal Load,9,20335311,604.220,94.912,18.514,358.040,1194,199,
Static-DCBO,STATIC_DCBO,1000,Normal Load,10,20335312,603.220,93.370,18.195,358.040,1194,199,
Static-DCBO,STATIC_DCBO,300,Burst Load,1,20319180,415.220,65.582,19.564,255.135,236,59,
Static-DCBO,STATIC_DCBO,300,Burst Load,2,20319181,407.220,62.093,18.429,255.135,236,59,
Static-DCBO,STATIC_DCBO,300,Burst Load,3,20319182,415.220,65.523,19.563,255.135,236,59,
Static-DCBO,STATIC_DCBO,300,Burst Load,4,20303079,415.220,65.582,19.564,255.135,236,59,
Static-DCBO,STATIC_DCBO,300,Burst Load,5,20303080,407.220,62.093,18.429,255.135,236,59,
Static-DCBO,STATIC_DCBO,300,Burst Load,6,20303081,415.220,65.523,19.563,255.135,236,59,
Static-DCBO,STATIC_DCBO,300,Burst Load,7,20303082,415.220,65.582,19.564,255.135,236,59,
Static-DCBO,STATIC_DCBO,300,Burst Load,8,20303083,407.220,62.093,18.429,255.135,236,59,
Static-DCBO,STATIC_DCBO,300,Burst Load,9,20303084,415.220,65.523,19.563,255.135,236,59,
Static-DCBO,STATIC_DCBO,300,Burst Load,10,20303085,415.220,65.582,19.564,255.135,236,59,
Static-DCBO,STATIC_DCBO,300,Churn,1,20266323,392.220,63.205,20.036,255.135,236,59,
Static-DCBO,STATIC_DCBO,300,Churn,2,20266324,387.220,59.860,18.885,255.135,236,59,
Static-DCBO,STATIC_DCBO,300,Churn,3,20266325,392.220,63.177,20.036,255.135,236,59,
Static-DCBO,STATIC_DCBO,300,Churn,4,20314679,392.220,63.177,20.036,255.135,236,59,
Static-DCBO,STATIC_DCBO,300,Churn,5,20314680,392.220,63.205,20.036,255.135,236,59,
Static-DCBO,STATIC_DCBO,300,Churn,6,20314681,387.220,59.860,18.885,255.135,236,59,
Static-DCBO,STATIC_DCBO,300,Churn,7,20314682,392.220,63.177,20.036,255.135,236,59,
Static-DCBO,STATIC_DCBO,300,Churn,8,20314683,392.220,63.205,20.036,255.135,236,59,
Static-DCBO,STATIC_DCBO,300,Churn,9,20314684,387.220,59.860,18.885,255.135,236,59,
Static-DCBO,STATIC_DCBO,300,Churn,10,20314685,392.220,63.177,20.036,255.135,236,59,
Static-DCBO,STATIC_DCBO,300,Normal Load,1,20329348,387.220,59.860,18.400,255.135,236,59,
Static-DCBO,STATIC_DCBO,300,Normal Load,2,20329349,392.220,63.177,19.522,255.135,236,59,
Static-DCBO,STATIC_DCBO,300,Normal Load,3,20329350,392.220,63.205,19.521,255.135,236,59,
Static-DCBO,STATIC_DCBO,300,Normal Load,4,20314130,392.220,63.177,19.522,255.135,236,59,
Static-DCBO,STATIC_DCBO,300,Normal Load,5,20314131,392.220,63.205,19.521,255.135,236,59,
Static-DCBO,STATIC_DCBO,300,Normal Load,6,20314132,387.220,59.860,18.400,255.135,236,59,
Static-DCBO,STATIC_DCBO,300,Normal Load,7,20314133,392.220,63.177,19.522,255.135,236,59,
Static-DCBO,STATIC_DCBO,300,Normal Load,8,20314134,392.220,63.205,19.521,255.135,236,59,
Static-DCBO,STATIC_DCBO,300,Normal Load,9,20314135,387.220,59.860,18.400,255.135,236,59,
Static-DCBO,STATIC_DCBO,300,Normal Load,10,20314136,392.220,63.177,19.522,255.135,236,59,
Static-DCBO,STATIC_DCBO,500,Burst Load,1,20280753,483.220,74.041,19.011,357.677,594,99,
Static-DCBO,STATIC_DCBO,500,Burst Load,2,20280754,483.220,74.041,19.011,357.677,594,99,
Static-DCBO,STATIC_DCBO,500,Burst Load,3,20280755,483.220,74.041,19.011,357.677,594,99,
Static-DCBO,STATIC_DCBO,500,Burst Load,4,20264652,483.220,74.041,19.011,357.677,594,99,
Static-DCBO,STATIC_DCBO,500,Burst Load,5,20264653,483.220,74.041,19.011,357.677,594,99,
Static-DCBO,STATIC_DCBO,500,Burst Load,6,20264654,483.220,74.041,19.011,357.677,594,99,
Static-DCBO,STATIC_DCBO,500,Burst Load,7,20264655,483.220,74.041,19.011,357.677,594,99,
Static-DCBO,STATIC_DCBO,500,Burst Load,8,20264656,483.220,74.041,19.011,357.677,594,99,
Static-DCBO,STATIC_DCBO,500,Burst Load,9,20264657,483.220,74.041,19.011,357.677,594,99,
Static-DCBO,STATIC_DCBO,500,Burst Load,10,20264658,483.220,74.041,19.011,357.677,594,99,
Static-DCBO,STATIC_DCBO,500,Churn,1,20359768,457.220,71.665,19.513,383.226,594,99,
Static-DCBO,STATIC_DCBO,500,Churn,2,20359769,457.220,71.664,19.512,383.226,594,99,
Static-DCBO,STATIC_DCBO,500,Churn,3,20359770,457.220,71.994,19.598,383.226,594,99,
Static-DCBO,STATIC_DCBO,500,Churn,4,20359740,457.220,71.989,19.595,383.226,594,99,
Static-DCBO,STATIC_DCBO,500,Churn,5,20359741,457.220,71.665,19.513,383.226,594,99,
Static-DCBO,STATIC_DCBO,500,Churn,6,20359742,457.220,71.664,19.512,383.226,594,99,
Static-DCBO,STATIC_DCBO,500,Churn,7,20359743,457.220,71.995,19.598,383.226,594,99,
Static-DCBO,STATIC_DCBO,500,Churn,8,20359744,457.220,71.665,19.513,383.226,594,99,
Static-DCBO,STATIC_DCBO,500,Churn,9,20359745,457.220,71.664,19.512,383.226,594,99,
Static-DCBO,STATIC_DCBO,500,Churn,10,20359746,457.220,71.994,19.598,383.226,594,99,
Static-DCBO,STATIC_DCBO,500,Normal Load,1,20322793,457.220,71.664,18.978,357.677,594,99,
Static-DCBO,STATIC_DCBO,500,Normal Load,2,20322794,457.220,71.664,18.978,357.677,594,99,
Static-DCBO,STATIC_DCBO,500,Normal Load,3,20322795,457.220,71.664,18.978,357.677,594,99,
Static-DCBO,STATIC_DCBO,500,Normal Load,4,20359191,457.220,71.664,18.978,357.677,594,99,
Static-DCBO,STATIC_DCBO,500,Normal Load,5,20359192,457.220,71.664,18.978,357.677,594,99,
Static-DCBO,STATIC_DCBO,500,Normal Load,6,20359193,457.220,71.664,18.978,357.677,594,99,
Static-DCBO,STATIC_DCBO,500,Normal Load,7,20359194,457.220,71.664,18.978,357.677,594,99,
Static-DCBO,STATIC_DCBO,500,Normal Load,8,20359195,457.220,71.664,18.978,357.677,594,99,
Static-DCBO,STATIC_DCBO,500,Normal Load,9,20359196,457.220,71.664,18.978,357.677,594,99,
Static-DCBO,STATIC_DCBO,500,Normal Load,10,20359197,457.220,71.664,18.978,357.677,594,99,
