method,policy,nodes,scenario,trial,seed,p95_ms,mean_loop_ms,sla_pct,overhead_norm,control_messages,colonies,variant,mean_energy_per_req,total_cost
Tavousi-Fuzzy,TAVOUSI_FUZZY,100,Burst Load,1,20346723,361.220,60.866,21.878,253.333,76,1,,712.907867,328375.360000
Tavousi-Fuzzy,TAVOUSI_FUZZY,100,Burst Load,2,20346724,346.220,51.875,18.267,253.333,76,1,,694.436093,326420.360000
Tavousi-Fuzzy,TAVOUSI_FUZZY,100,Burst Load,3,20346725,346.220,51.692,18.263,253.333,76,1,,694.236116,330567.520000
Tavousi-Fuzzy,TAVOUSI_FUZZY,100,Burst Load,4,20346726,361.220,60.866,21.878,253.333,76,1,,712.907867,323990.360000
Tavousi-Fuzzy,TAVOUSI_FUZZY,100,Burst Load,5,20346727,346.220,51.875,18.267,253.333,76,1,,694.436093,339700.360000
Tavousi-Fuzzy,TAVOUSI_FUZZY,100,Burst Load,6,20346728,346.220,51.692,18.263,253.333,76,1,,694.236116,326057.520000
Tavousi-Fuzzy,TAVOUSI_FUZZY,100,Burst Load,7,20346729,361.220,60.866,21.878,253.333,76,1,,712.907867,342090.360000
Tavousi-Fuzzy,TAVOUSI_FUZZY,100,Burst Load,8,20346730,346.220,51.875,18.267,253.333,76,1,,694.436093,335210.360000
Tavousi-Fuzzy,TAVOUSI_FUZZY,100,Burst Load,9,20346731,346.220,51.692,18.263,253.333,76,1,,694.236116,325667.520000
Tavousi-Fuzzy,TAVOUSI_FUZZY,100,Burst Load,10,20346732,361.220,60.866,21.878,253.333,76,1,,712.907867,328495.360000
Tavousi-Fuzzy,TAVOUSI_FUZZY,100,Churn,1,20273386,322.220,49.977,18.976,253.333,76,1,,682.580749,237075.360000
Tavousi-Fuzzy,TAVOUSI_FUZZY,100,Churn,2,20273387,322.220,49.891,18.977,253.333,76,1,,682.578057,249994.520000
Tavousi-Fuzzy,TAVOUSI_FUZZY,100,Churn,3,20273388,342.220,58.689,22.691,253.333,76,1,,699.632580,230360.360000
Tavousi-Fuzzy,TAVOUSI_FUZZY,100,Churn,4,20273389,322.220,49.977,18.976,253.333,76,1,,682.580749,232595.360000
Tavousi-Fuzzy,TAVOUSI_FUZZY,100,Churn,5,20273390,322.220,49.891,18.977,253.333,76,1,,682.578057,232429.520000
Tavousi-Fuzzy,TAVOUSI_FUZZY,100,Churn,6,20273391,342.220,58.689,22.691,253.333,76,1,,699.632580,234960.360000
Tavousi-Fuzzy,TAVOUSI_FUZZY,100,Churn,7,20273392,322.220,49.977,18.976,253.333,76,1,,682.580749,232575.360000
Tavousi-Fuzzy,TAVOUSI_FUZZY,100,Churn,8,20273393,322.220,49.891,18.977,253.333,76,1,,682.578057,237019.520000
Tavousi-Fuzzy,TAVOUSI_FUZZY,100,Churn,9,20273394,342.220,58.689,22.691,253.333,76,1,,699.632580,248105.360000
Tavousi-Fuzzy,TAVOUSI_FUZZY,100,Churn,10,20273395,322.220,49.977,18.976,253.333,76,1,,682.580749,232760.360000
Tavousi-Fuzzy,TAVOUSI_FUZZY,100,Normal Load,1,20332017,342.220,58.689,21.963,253.333,76,1,,699.632580,230285.360000
Tavousi-Fuzzy,TAVOUSI_FUZZY,100,Normal Load,2,20313806,322.220,49.891,18.368,253.333,76,1,,682.578057,241019.520000
Tavousi-Fuzzy,TAVOUSI_FUZZY,100,Normal Load,3,20313807,342.220,58.689,21.963,253.333,76,1,,699.632580,230525.360000
Tavousi-Fuzzy,TAVOUSI_FUZZY,100,Normal Load,4,20313808,322.220,49.977,18.366,253.333,76,1,,682.580749,232575.360000
Tavousi-Fuzzy,TAVOUSI_FUZZY,100,Normal Load,5,20313809,322.220,49.891,18.368,253.333,76,1,,682.578057,232344.520000
Tavousi-Fuzzy,TAVOUSI_FUZZY,100,Normal Load,6,20313810,342.220,58.689,21.963,253.333,76,1,,699.632580,230515.360000
Tavousi-Fuzzy,TAVOUSI_FUZZY,100,Normal Load,7,20313811,322.220,49.977,18.366,253.333,76,1,,682.580749,232425.360000
Tavousi-Fuzzy,TAVOUSI_FUZZY,100,Normal Load,8,20313812,322.220,49.891,18.368,253.333,76,1,,682.578057,232254.520000
Tavousi-Fuzzy,TAVOUSI_FUZZY,100,Normal Load,9,20313813,342.220,58.689,21.963,253.333,76,1,,699.632580,230215.360000
Tavousi-Fuzzy,TAVOUSI_FUZZY,100,Normal Load,10,20313814,322.220,49.977,18.366,253.333,76,1,,682.580749,237025.360000
Tavousi-Fuzzy,TAVOUSI_FUZZY,1000,Burst Load,1,20287033,650.220,97.713,18.718,255.743,796,1,,675.441833,6137804.960000
Tavousi-Fuzzy,TAVOUSI_FUZZY,1000,Burst Load,2,20287034,650.220,97.695,18.718,255.743,796,1,,675.431741,6137582.120000
Tavousi-Fuzzy,TAVOUSI_FUZZY,1000,Burst Load,3,20287035,656.220,99.327,19.049,255.743,796,1,,677.118727,6133799.960000
Tavousi-Fuzzy,TAVOUSI_FUZZY,1000,Burst Load,4,20287036,650.220,97.713,18.718,255.743,796,1,,675.441833,6137814.960000
Tavousi-Fuzzy,TAVOUSI_FUZZY,1000,Burst Load,5,20287037,650.220,97.695,18.718,255.743,796,1,,675.431741,6137552.120000
Tavousi-Fuzzy,TAVOUSI_FUZZY,1000,Burst Load,6,20287038,656.220,99.327,19.049,255.743,796,1,,677.118727,6133799.960000
Tavousi-Fuzzy,TAVOUSI_FUZZY,1000,Burst Load,7,20287039,650.220,97.713,18.718,255.743,796,1,,675.441833,6141994.960000
Tavousi-Fuzzy,TAVOUSI_FUZZY,1000,Burst Load,8,20287040,650.220,97.695,18.718,255.743,796,1,,675.431741,6137522.120000
Tavousi-Fuzzy,TAVOUSI_FUZZY,1000,Burst Load,9,20287041,656.220,99.327,19.049,255.743,796,1,,677.118727,6133799.960000
Tavousi-Fuzzy,TAVOUSI_FUZZY,1000,Burst Load,10,20287042,650.220,97.713,18.718,255.743,796,1,,675.441833,6137779.960000
Tavousi-Fuzzy,TAVOUSI_FUZZY,1000,Churn,1,20330019,604.220,94.912,19.218,255.743,796,1,,665.679882,4307242.960000
Tavousi-Fuzzy,TAVOUSI_FUZZY,1000,Churn,2,20330020,603.220,93.370,18.886,255.743,796,1,,664.116119,4311212.960000
Tavousi-Fuzzy,TAVOUSI_FUZZY,1000,Churn,3,20330021,603.220,93.362,18.887,255.743,796,1,,664.115911,4310967.120000
Tavousi-Fuzzy,TAVOUSI_FUZZY,1000,Churn,4,20330022,604.220,94.912,19.218,255.743,796,1,,665.679882,4307247.960000
Tavousi-Fuzzy,TAVOUSI_FUZZY,1000,Churn,5,20330023,603.220,93.370,18.886,255.743,796,1,,664.116119,4311252.960000
Tavousi-Fuzzy,TAVOUSI_FUZZY,1000,Churn,6,20330024,603.220,93.362,18.887,255.743,796,1,,664.115911,4310942.120000
