method,scenario,nodes,mean,std,ci_low,ci_high,yerr
DynaCol/DCBO,Normal Load,100,12.55,3.64,9.95,15.16,2.6
DynaCol/DCBO,Normal Load,300,0.72,1.17,-0.11,1.56,0.83
DynaCol/DCBO,Normal Load,500,0.57,0.74,0.04,1.1,0.53
DynaCol/DCBO,Normal Load,1000,0.21,0.34,-0.03,0.45,0.24
DynaCol/DCBO,Burst Load,100,14.29,2.38,12.59,15.99,1.7
DynaCol/DCBO,Burst Load,300,0.96,1.24,0.07,1.84,0.89
DynaCol/DCBO,Burst Load,500,0.42,0.68,-0.06,0.91,0.49
DynaCol/DCBO,Burst Load,1000,0.29,0.37,0.02,0.55,0.26
DynaCol/DCBO,Churn,100,14.86,2.45,13.11,16.62,1.75
DynaCol/DCBO,Churn,300,0.74,1.2,-0.11,1.6,0.86
DynaCol/DCBO,Churn,500,0.44,0.71,-0.07,0.95,0.51
DynaCol/DCBO,Churn,1000,0.22,0.35,-0.03,0.47,0.25
FogPlan-MinCost,Normal Load,100,42.08,0.04,42.06,42.11,0.03
FogPlan-MinCost,Normal Load,300,25.2,0.39,24.93,25.48,0.28
FogPlan-MinCost,Normal Load,500,20.91,0.27,20.71,21.1,0.2
FogPlan-MinCost,Normal Load,1000,16.88,0.01,16.87,16.88,0.01
FogPlan-MinCost,Burst Load,100,41.93,0.06,41.89,41.98,0.04
FogPlan-MinCost,Burst Load,300,25.02,0.42,24.72,25.33,0.3
FogPlan-MinCost,Burst Load,500,20.8,0.28,20.6,21.0,0.2
FogPlan-MinCost,Burst Load,1000,17.24,0.01,17.24,17.25,0.01
FogPlan-MinCost,Churn,100,42.46,0.07,42.41,42.51,0.05
FogPlan-MinCost,Churn,300,25.51,0.42,25.21,25.81,0.3
FogPlan-MinCost,Churn,500,21.21,0.28,21.02,21.41,0.2
FogPlan-MinCost,Churn,1000,17.42,0.01,17.41,17.42,0.01
Static-DCBO,Normal Load,100,19.81,1.86,18.48,21.13,1.33
Static-DCBO,Normal Load,300,19.19,0.54,18.8,19.57,0.39
Static-DCBO,Normal Load,500,18.98,0.0,18.98,18.98,0.0
Static-DCBO,Normal Load,1000,18.29,0.15,18.18,18.4,0.11
Static-DCBO,Burst Load,100,19.71,1.87,18.38,21.04,1.33
Static-DCBO,Burst Load,300,19.11,0.59,18.69,19.53,0.42
Static-DCBO,Burst Load,500,19.01,0.0,19.01,19.01,0.0
Static-DCBO,Burst Load,1000,18.82,0.16,18.7,18.93,0.11
Static-DCBO,Churn,100,20.09,1.79,18.81,21.37,1.28
Static-DCBO,Churn,300,19.58,0.59,19.15,20.0,0.43
Static-DCBO,Churn,500,19.54,0.04,19.51,19.57,0.03
Static-DCBO,Churn,1000,19.05,0.21,18.9,19.2,0.15
Greedy-Nearest,Normal Load,100,19.81,1.86,18.48,21.13,1.33
Greedy-Nearest,Normal Load,300,19.19,0.54,18.8,19.57,0.39
Greedy-Nearest,Normal Load,500,18.98,0.0,18.98,18.98,0.0
Greedy-Nearest,Normal Load,1000,18.29,0.15,18.18,18.4,0.11
Greedy-Nearest,Burst Load,100,19.35,1.75,18.1,20.6,1.25
Greedy-Nearest,Burst Load,300,19.22,0.55,18.83,19.62,0.39
Greedy-Nearest,Burst Load,500,19.01,0.0,19.01,19.01,0.0
Greedy-Nearest,Burst Load,1000,18.82,0.16,18.7,18.93,0.11
Greedy-Nearest,Churn,100,20.46,1.92,19.09,21.83,1.37
Greedy-Nearest,Churn,300,19.69,0.56,19.29,20.09,0.4
Greedy-Nearest,Churn,500,19.51,0.0,19.51,19.51,0.0
Greedy-Nearest,Churn,1000,18.99,0.16,18.87,19.1,0.11
Tavousi-Fuzzy,Normal Load,100,19.81,1.86,18.48,21.13,1.33
Tavousi-Fuzzy,Normal Load,300,19.19,0.54,18.8,19.57,0.39
Tavousi-Fuzzy,Normal Load,500,18.98,0.0,18.98,18.98,0.0
Tavousi-Fuzzy,Normal Load,1000,18.29,0.15,18.18,18.4,0.11
Tavousi-Fuzzy,Burst Load,100,19.71,1.87,18.38,21.04,1.33
Tavousi-Fuzzy,Burst Load,300,19.22,0.55,18.83,19.62,0.39
Tavousi-Fuzzy,Burst Load,500,19.01,0.0,19.01,19.01,0.0
Tavousi-Fuzzy,Burst Load,1000,18.82,0.16,18.7,18.93,0.11
Tavousi-Fuzzy,Churn,100,20.46,1.92,19.09,21.83,1.37
Tavousi-Fuzzy,Churn,300,19.69,0.56,19.29,20.09,0.4
Tavousi-Fuzzy,Churn,500,19.51,0.0,19.51,19.51,0.0
Tavousi-Fuzzy,Churn,1000,18.99,0.16,18.87,19.1,0.11
Dogani-TwoTier,Normal Load,100,19.81,1.86,18.48,21.13,1.33
Dogani-TwoTier,Normal Load,300,19.18,0.54,18.8,19.57,0.39
Dogani-TwoTier,Normal Load,500,18.98,0.0,18.98,18.98,0.0
Dogani-TwoTier,Normal Load,1000,18.29,0.15,18.18,18.4,0.11
Dogani-TwoTier,Burst Load,100,19.71,1.87,18.38,21.04,1.33
Dogani-TwoTier,Burst Load,300,19.22,0.55,18.83,19.62,0.39
Dogani-TwoTier,Burst Load,500,19.01,0.0,19.01,19.01,0.0
Dogani-TwoTier,Burst Load,1000,18.82,0.16,18.7,18.93,0.11
Dogani-TwoTier,Churn,100,20.09,1.79,18.81,21.37,1.28
Dogani-TwoTier,Churn,300,19.58,0.59,19.15,20.0,0.43
Dogani-TwoTier,Churn,500,19.51,0.0,19.51,19.51,0.0
Dogani-TwoTier,Churn,1000,18.99,0.16,18.87,19.1,0.11
Edgeward,Normal Load,100,85.57,11.03,77.68,93.46,7.89
Edgeward,Normal Load,300,0.0,0.0,0.0,0.0,0.0
Edgeward,Normal Load,500,0.0,0.0,0.0,0.0,0.0
Edgeward,Normal Load,1000,0.0,0.0,0.0,0.0,0.0
Edgeward,Burst Load,100,86.97,0.39,86.69,87.25,0.28
Edgeward,Burst Load,300,92.92,0.02,92.9,92.93,0.01
Edgeward,Burst Load,500,86.67,0.08,86.62,86.73,0.05
Edgeward,Burst Load,1000,83.88,0.06,83.84,83.92,0.04
Edgeward,Churn,100,86.65,10.36,79.23,94.06,7.41
Edgeward,Churn,300,0.0,0.0,0.0,0.0,0.0
Edgeward,Churn,500,0.0,0.0,0.0,0.0,0.0
Edgeward,Churn,1000,0.0,0.0,0.0,0.0,0.0
