method,scenario,nodes,trial,sla_pct
DynaCol/DCBO,Normal Load,100,1,10.294
DynaCol/DCBO,Normal Load,100,2,10.295
DynaCol/DCBO,Normal Load,100,3,17.827
DynaCol/DCBO,Normal Load,100,4,10.294
DynaCol/DCBO,Normal Load,100,5,10.295
DynaCol/DCBO,Normal Load,100,6,17.827
DynaCol/DCBO,Normal Load,100,7,10.294
DynaCol/DCBO,Normal Load,100,8,10.295
DynaCol/DCBO,Normal Load,100,9,17.827
DynaCol/DCBO,Normal Load,100,10,10.294
DynaCol/DCBO,Normal Load,300,1,0.0
DynaCol/DCBO,Normal Load,300,2,2.415
DynaCol/DCBO,Normal Load,300,3,0.0
DynaCol/DCBO,Normal Load,300,4,0.0
DynaCol/DCBO,Normal Load,300,5,2.415
DynaCol/DCBO,Normal Load,300,6,0.0
DynaCol/DCBO,Normal Load,300,7,0.0
DynaCol/DCBO,Normal Load,300,8,2.415
DynaCol/DCBO,Normal Load,300,9,0.0
DynaCol/DCBO,Normal Load,300,10,0.0
DynaCol/DCBO,Normal Load,500,1,1.426
DynaCol/DCBO,Normal Load,500,2,0.0
DynaCol/DCBO,Normal Load,500,3,0.0
DynaCol/DCBO,Normal Load,500,4,1.426
DynaCol/DCBO,Normal Load,500,5,0.0
DynaCol/DCBO,Normal Load,500,6,0.0
DynaCol/DCBO,Normal Load,500,7,1.426
DynaCol/DCBO,Normal Load,500,8,0.0
DynaCol/DCBO,Normal Load,500,9,0.0
DynaCol/DCBO,Normal Load,500,10,1.426
DynaCol/DCBO,Normal Load,1000,1,0.0
DynaCol/DCBO,Normal Load,1000,2,0.0
DynaCol/DCBO,Normal Load,1000,3,0.703
DynaCol/DCBO,Normal Load,1000,4,0.0
DynaCol/DCBO,Normal Load,1000,5,0.0
DynaCol/DCBO,Normal Load,1000,6,0.703
DynaCol/DCBO,Normal Load,1000,7,0.0
DynaCol/DCBO,Normal Load,1000,8,0.0
DynaCol/DCBO,Normal Load,1000,9,0.703
DynaCol/DCBO,Normal Load,1000,10,0.0
DynaCol/DCBO,Burst Load,100,1,12.813
